name,combo,sh_lr,sh_xgb,min_ess,n_sig
DD+DISP+REL_N+TERM,"['DD_z', 'DISP_z', 'REL_N_z', 'TERM_z']",-0.10320852312068995,1.0510683990631815,1322.288477615645,3
DD+DISP+REL_N+SKEW,"['DD_z', 'DISP_z', 'REL_N_z', 'SKEW_z']",-0.08322110627282603,0.9461731460881413,1136.0739052955023,4
DD+VOL+DISP+TERM,"['DD_z', 'VOL_z', 'DISP_z', 'TERM_z']",-0.07916586372270339,0.9114974119597946,258.6563884873994,3
DD+VOL+DISP+TERM,"['DD_z', 'VOL_z', 'DISP_z', 'TERM_z']",-0.079,0.911,232.0,3
DD+DISP+CS+TERM,"['DD_z', 'DISP_z', 'CS_z', 'TERM_z']",-0.07724265696878577,0.8513394203249481,430.2898103426749,3
DD+DISP+REL_N+CS,"['DD_z', 'DISP_z', 'REL_N_z', 'CS_z']",-0.08682868996499084,0.8316313339909426,1184.6848176098551,4
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",-0.098,0.758,526.0,4
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",-0.09818448270449717,0.7576820352485847,526.43908564689,4
VOL+DISP+CS+LVIX,"['VOL_z', 'DISP_z', 'CS_z', 'LVIX_z']",-0.05885245106141764,0.7428527482874344,855.4195721521709,4
VOL+DISP+REL_N+CS,"['VOL_z', 'DISP_z', 'REL_N_z', 'CS_z']",-0.0621444583482482,0.7162949248764625,141.03296831843926,4
REL_N+CS+ADR+SKEW,"['REL_N_z', 'CS_z', 'ADR_z', 'SKEW_z']",-0.07290122471755366,0.7115497566479948,334.73185419790144,2
DD+REL_N+CS+ADR,"['DD_z', 'REL_N_z', 'CS_z', 'ADR_z']",-0.0592641184981638,0.7024755268995234,1107.12534566506,3
DISP+LVIX+ADR+TERM,"['DISP_z', 'LVIX_z', 'ADR_z', 'TERM_z']",-0.05435903893269149,0.6994008684310027,899.2425547770978,2
REL_N+LVIX+SKEW+TERM,"['REL_N_z', 'LVIX_z', 'SKEW_z', 'TERM_z']",-0.07156570418957213,0.6865784972777793,83.21597160832746,2
VOL+DISP+REL_N+LVIX,"['VOL_z', 'DISP_z', 'REL_N_z', 'LVIX_z']",-0.06325671678778401,0.671130865706447,160.2790804533934,4
DD+VOL+LVIX+TERM,"['DD_z', 'VOL_z', 'LVIX_z', 'TERM_z']",-0.06774039158556246,0.6324715043995311,1252.9310818467732,4
VOL+DISP+CS+SKEW,"['VOL_z', 'DISP_z', 'CS_z', 'SKEW_z']",-0.06616460600404074,0.6144134196948001,395.7006536052295,4
DD+VOL+DISP+ADR,"['DD_z', 'VOL_z', 'DISP_z', 'ADR_z']",-0.061,0.613,89.0,4
DD+VOL+DISP+ADR,"['DD_z', 'VOL_z', 'DISP_z', 'ADR_z']",-0.06088080194725032,0.6125357667793241,88.50848931979876,4
DISP+REL_N+CS+ADR,"['DISP_z', 'REL_N_z', 'CS_z', 'ADR_z']",-0.06893608342480359,0.6099831571578853,440.36130915207855,3
DD+DISP+LVIX+TERM,"['DD_z', 'DISP_z', 'LVIX_z', 'TERM_z']",-0.042932966590983404,0.6083741816647142,1348.6297127779387,4
DD+CS+LVIX+SKEW,"['DD_z', 'CS_z', 'LVIX_z', 'SKEW_z']",-0.10603189265291663,0.6074892970035518,721.0276513382687,4
VOL+REL_N+CS+LVIX,"['VOL_z', 'REL_N_z', 'CS_z', 'LVIX_z']",-0.045486343922731876,0.5991594479991184,1268.9476126830107,4
VOL+LVIX+ADR+TERM,"['VOL_z', 'LVIX_z', 'ADR_z', 'TERM_z']",-0.07303162677484525,0.5823059236578686,652.5094825442303,2
DD+VOL+REL_N+TERM,"['DD_z', 'VOL_z', 'REL_N_z', 'TERM_z']",-0.0959696165733976,0.5803626034881249,273.8451278158488,4
DD+VOL+REL_N+CS,"['DD_z', 'VOL_z', 'REL_N_z', 'CS_z']",-0.05798875361807415,0.5763352784042147,807.2001242946305,4
DD+VOL+CS+ADR,"['DD_z', 'VOL_z', 'CS_z', 'ADR_z']",-0.04575482691331448,0.5671688397776745,949.4745765282967,4
DD+DISP+REL_N+ADR,"['DD_z', 'DISP_z', 'REL_N_z', 'ADR_z']",-0.06324991704990597,0.5583985276380938,1243.9936544538052,3
DD+REL_N+CS+SKEW,"['DD_z', 'REL_N_z', 'CS_z', 'SKEW_z']",-0.06047482379913817,0.555786605998648,801.588431108432,4
VOL+REL_N+CS+SKEW,"['VOL_z', 'REL_N_z', 'CS_z', 'SKEW_z']",-0.10250033810860869,0.5502255967211819,337.8013592675358,4
DD+DISP+REL_N+LVIX,"['DD_z', 'DISP_z', 'REL_N_z', 'LVIX_z']",-0.06745050396968995,0.5460563238431222,436.83522334298385,4
DD+REL_N+ADR+SKEW,"['DD_z', 'REL_N_z', 'ADR_z', 'SKEW_z']",-0.05095204300700189,0.5418100145712156,991.6980611067954,3
DD+DISP+CS+SKEW,"['DD_z', 'DISP_z', 'CS_z', 'SKEW_z']",-0.095530515252133,0.5332796943618505,362.18000439713524,4
DD+CS+LVIX+ADR,"['DD_z', 'CS_z', 'LVIX_z', 'ADR_z']",-0.05996374907498459,0.5270017094739031,1039.1172387984345,4
DD+DISP+ADR+TERM,"['DD_z', 'DISP_z', 'ADR_z', 'TERM_z']",-0.05043855516129146,0.5232878013097659,1067.5055516861162,4
DD+LVIX+SKEW+TERM,"['DD_z', 'LVIX_z', 'SKEW_z', 'TERM_z']",-0.03224902157774102,0.5203456129329019,625.6907275540052,4
DD+VOL+ADR+SKEW,"['DD_z', 'VOL_z', 'ADR_z', 'SKEW_z']",-0.05098959224878281,0.5187780367243638,861.9772222046147,4
DD+REL_N+CS+LVIX,"['DD_z', 'REL_N_z', 'CS_z', 'LVIX_z']",-0.05683032291435033,0.5107423619102519,750.3486629462627,4
DD+REL_N+LVIX+ADR,"['DD_z', 'REL_N_z', 'LVIX_z', 'ADR_z']",-0.056109736638377004,0.5092304132829812,1018.7301795834388,3
LVIX+ADR+SKEW+TERM,"['LVIX_z', 'ADR_z', 'SKEW_z', 'TERM_z']",-0.07605969360996018,0.5076934680501584,132.39096992738232,2
DD+DISP+SKEW+TERM,"['DD_z', 'DISP_z', 'SKEW_z', 'TERM_z']",-0.10425213418823649,0.5022865242183219,965.3863299104338,3
DD+DISP+ADR+SKEW,"['DD_z', 'DISP_z', 'ADR_z', 'SKEW_z']",-0.058373704594077175,0.5001963801068006,117.8912834801494,4
DD+LVIX+ADR+SKEW,"['DD_z', 'LVIX_z', 'ADR_z', 'SKEW_z']",-0.06391859887519262,0.48936743474255834,186.42855562175296,4
DD+VOL+SKEW+TERM,"['DD_z', 'VOL_z', 'SKEW_z', 'TERM_z']",-0.06315935479207659,0.4892082688343871,236.80644162739628,3
DISP+CS+LVIX+SKEW,"['DISP_z', 'CS_z', 'LVIX_z', 'SKEW_z']",-0.0746910033117293,0.47982590198297415,756.2435250243548,4
DD+CS+ADR+TERM,"['DD_z', 'CS_z', 'ADR_z', 'TERM_z']",-0.0594321686067298,0.478847656514552,297.1730912089249,3
DD+CS+SKEW+TERM,"['DD_z', 'CS_z', 'SKEW_z', 'TERM_z']",-0.04706309381022896,0.47680892683533577,93.03990005334744,4
DISP+REL_N+CS+SKEW,"['DISP_z', 'REL_N_z', 'CS_z', 'SKEW_z']",-0.08564548366514282,0.4747890763241211,681.2702852310391,4
