Regime,Leg,Horizon,Signed SHAP (bps),|SHAP| (bps),% of mom importance,Median momentum (%),N obs
Calm,long,mom_1,3.48,18.86,4.76,0.01,54028
Calm,long,mom_2,7.63,17.79,4.49,2.12,54028
Calm,long,mom_3,3.74,15.50,3.91,4.28,54028
Calm,long,mom_4,-0.13,21.66,5.47,7.12,54028
Calm,long,mom_5,16.62,24.42,6.17,11.66,54028
Calm,long,mom_6,1.23,21.71,5.48,18.23,54028
Calm,long,mom_7,3.34,14.68,3.71,23.70,54028
Calm,long,mom_8,31.09,42.31,10.68,30.70,54028
Calm,long,mom_9,36.60,47.01,11.87,30.33,54028
Calm,long,mom_10,8.09,27.80,7.02,28.71,54028
Calm,long,mom_11,-14.43,73.09,18.45,29.09,54028
Calm,long,mom_12,46.07,71.23,17.99,23.72,54028
Calm,long,pi_filter,-49.34,160.06,,,54028
Calm,short,mom_1,-6.11,9.93,5.00,1.25,40018
Calm,short,mom_2,-2.61,9.16,4.61,0.69,40018
Calm,short,mom_3,0.87,7.00,3.52,1.93,40018
Calm,short,mom_4,-8.14,13.49,6.78,2.82,40018
Calm,short,mom_5,-1.65,7.51,3.78,1.30,40018
Calm,short,mom_6,1.34,7.33,3.69,-0.20,40018
Calm,short,mom_7,-2.22,8.89,4.47,-1.07,40018
Calm,short,mom_8,-12.43,23.47,11.81,-1.84,40018
Calm,short,mom_9,-21.94,25.59,12.87,-0.75,40018
Calm,short,mom_10,5.46,12.28,6.18,2.07,40018
Calm,short,mom_11,-50.53,54.26,27.30,3.22,40018
Calm,short,mom_12,4.32,19.89,10.00,8.28,40018
Calm,short,pi_filter,-70.76,180.42,,,40018
Panic,long,mom_1,22.49,52.10,7.02,-5.17,31732
Panic,long,mom_2,21.86,38.03,5.13,-6.28,31732
Panic,long,mom_3,9.60,23.45,3.16,-9.91,31732
Panic,long,mom_4,-0.15,34.89,4.70,-12.65,31732
Panic,long,mom_5,51.57,57.26,7.72,-13.70,31732
Panic,long,mom_6,-10.65,39.89,5.38,-12.34,31732
Panic,long,mom_7,10.52,28.37,3.82,-12.01,31732
Panic,long,mom_8,56.34,70.02,9.44,-10.30,31732
Panic,long,mom_9,97.01,111.62,15.04,-10.72,31732
Panic,long,mom_10,1.86,55.94,7.54,-12.33,31732
Panic,long,mom_11,-44.54,111.25,14.99,-12.99,31732
Panic,long,mom_12,102.48,119.27,16.07,-19.51,31732
Panic,long,pi_filter,113.04,234.91,,,31732
Panic,short,mom_1,-19.88,23.96,10.07,3.73,20708
Panic,short,mom_2,-5.57,12.83,5.39,0.70,20708
Panic,short,mom_3,-0.14,7.05,2.96,-0.93,20708
Panic,short,mom_4,-9.01,15.98,6.72,-1.79,20708
Panic,short,mom_5,-2.09,10.98,4.61,-4.49,20708
Panic,short,mom_6,-1.68,10.50,4.41,-7.12,20708
Panic,short,mom_7,-5.80,8.58,3.61,-8.81,20708
Panic,short,mom_8,-13.34,24.66,10.36,-10.19,20708
Panic,short,mom_9,-16.82,29.30,12.32,-11.46,20708
Panic,short,mom_10,5.34,12.85,5.40,-12.20,20708
Panic,short,mom_11,-53.96,57.31,24.09,-12.42,20708
Panic,short,mom_12,10.11,23.92,10.05,-10.52,20708
Panic,short,pi_filter,-10.91,193.51,,,20708
