name,combo,sh_xgb,sh_lr,min_ess,n_sig
DD+ADR+TERM,"['DD_z', 'ADR_z', 'TERM_z']",0.97838645724555,-0.0492334280822725,898.9203267171769,3
DD+VOL+CS,"['DD_z', 'VOL_z', 'CS_z']",0.86871797426873,-0.061009852565513736,564.3861458969914,3
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",0.7677583182325135,-0.10320887971300051,602.5744246164369,3
DD,['DD_z'],0.7378750167195085,-0.07283442420057973,1069.0007500959157,1
DD+CS+TERM,"['DD_z', 'CS_z', 'TERM_z']",0.7325400046549296,-0.049473861794163965,953.8098615646439,3
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",0.7132751170482725,-0.07456681828933108,856.0943953539849,3
DD+VOL+ADR,"['DD_z', 'VOL_z', 'ADR_z']",0.7025106180396486,-0.060798156513894086,142.09665891337568,3
DD+ADR,"['DD_z', 'ADR_z']",0.692670249793378,-0.05066522359093098,1231.991816254457,2
DD+CS+ADR,"['DD_z', 'CS_z', 'ADR_z']",0.6911785531821911,-0.059657037813549,253.3512470917099,3
DD+TERM,"['DD_z', 'TERM_z']",0.6682801833419659,-0.07280954871935955,702.2000067110675,2
DD+ADR+SKEW,"['DD_z', 'ADR_z', 'SKEW_z']",0.6589835471814014,-0.06106404508324584,1097.2924206006478,3
DD+REL_N+CS,"['DD_z', 'REL_N_z', 'CS_z']",0.6585757386581069,-0.05547069854878595,798.9144720769808,3
DD+REL_N,"['DD_z', 'REL_N_z']",0.6417722078403394,-0.06273534545130746,722.9603693210963,2
DD+REL_N+ADR,"['DD_z', 'REL_N_z', 'ADR_z']",0.6126695541841916,-0.0655165871581823,1102.2616375164425,2
DD+DISP+ADR,"['DD_z', 'DISP_z', 'ADR_z']",0.6034568206960977,-0.0556977730023518,1019.716527713089,3
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",0.5819826368990253,-0.04790329150954817,516.532829488566,3
DD+SKEW+TERM,"['DD_z', 'SKEW_z', 'TERM_z']",0.5720281649470952,-0.0596906134842653,923.0983783623124,3
DD+REL_N+LVIX,"['DD_z', 'REL_N_z', 'LVIX_z']",0.5570496455742274,-0.06548148245098068,556.9088548635145,3
DD+DISP+SKEW,"['DD_z', 'DISP_z', 'SKEW_z']",0.5287017644095213,-0.046043770121799846,1186.9339821742392,3
DD+DISP+CS,"['DD_z', 'DISP_z', 'CS_z']",0.5280908200347791,-0.059023026915579015,370.428003956783,3
DD+DISP+TERM,"['DD_z', 'DISP_z', 'TERM_z']",0.5148280482648563,-0.07511038748023857,865.505117944113,2
DD+VOL,"['DD_z', 'VOL_z']",0.48976323950233086,-0.051478362035962594,529.269255886558,2
DD+SKEW,"['DD_z', 'SKEW_z']",0.44374808490009926,-0.06006027512379831,1177.3274668051936,2
DD+CS,"['DD_z', 'CS_z']",0.44311141726735154,-0.05588162669141262,333.8501604224446,2
DD+REL_N+SKEW,"['DD_z', 'REL_N_z', 'SKEW_z']",0.4385280520993046,-0.0517322174825069,364.77318512670325,3
DD+CS+SKEW,"['DD_z', 'CS_z', 'SKEW_z']",0.42774200447766625,-0.07375569858941902,1182.4466473694931,3
DD+DISP,"['DD_z', 'DISP_z']",0.41043421472915487,-0.05433136012046401,1015.4373649211216,2
DD+VOL+SKEW,"['DD_z', 'VOL_z', 'SKEW_z']",0.35710543284132484,-0.06279027710763188,748.7574105239263,3
DD+CS+LVIX,"['DD_z', 'CS_z', 'LVIX_z']",0.3278953623213771,-0.058168346271574134,739.1838872344364,3
DD+LVIX+ADR,"['DD_z', 'LVIX_z', 'ADR_z']",0.27732770292405096,-0.062222905767540596,463.20736395878686,3
DD+LVIX+SKEW,"['DD_z', 'LVIX_z', 'SKEW_z']",0.2241414295727399,-0.09827405251590761,241.8967880055404,3
DD+LVIX+TERM,"['DD_z', 'LVIX_z', 'TERM_z']",0.2174375505385904,-0.03460078673916948,1500.0,3
