[abl] four_raw
  abl_four_raw_returns.csv 2011 ok
  abl_four_raw_returns.csv 2012 ok
  abl_four_raw_returns.csv 2013 ok
  abl_four_raw_returns.csv 2014 ok
  abl_four_raw_returns.csv 2015 ok
  abl_four_raw_returns.csv 2016 ok
  abl_four_raw_returns.csv 2017 ok
  abl_four_raw_returns.csv 2018 ok
  abl_four_raw_returns.csv 2019 ok
  abl_four_raw_returns.csv 2020 ok
  abl_four_raw_returns.csv 2021 ok
  abl_four_raw_returns.csv 2022 ok
  abl_four_raw_returns.csv 2023 ok
  abl_four_raw_returns.csv 2024 ok
  abl_four_raw_returns.csv 2025 ok
[abl] ghm_cycle
  abl_ghm_returns.csv 2011 ok
  abl_ghm_returns.csv 2012 ok
  abl_ghm_returns.csv 2013 ok
  abl_ghm_returns.csv 2014 ok
  abl_ghm_returns.csv 2015 ok
  abl_ghm_returns.csv 2016 ok
  abl_ghm_returns.csv 2017 ok
  abl_ghm_returns.csv 2018 ok
  abl_ghm_returns.csv 2019 ok
  abl_ghm_returns.csv 2020 ok
  abl_ghm_returns.csv 2021 ok
  abl_ghm_returns.csv 2022 ok
  abl_ghm_returns.csv 2023 ok
  abl_ghm_returns.csv 2024 ok
  abl_ghm_returns.csv 2025 ok
[abl] fundamentals (2011-2024)
  abl_fund_returns.csv 2011 ok
  abl_fund_returns.csv 2012 ok
  abl_fund_returns.csv 2013 ok
  abl_fund_returns.csv 2014 ok
  abl_fund_returns.csv 2015 ok
  abl_fund_returns.csv 2016 ok
  abl_fund_returns.csv 2017 ok
  abl_fund_returns.csv 2018 ok
  abl_fund_returns.csv 2019 ok
  abl_fund_returns.csv 2020 ok
  abl_fund_returns.csv 2021 ok
  abl_fund_returns.csv 2022 ok
  abl_fund_returns.csv 2023 ok
  abl_fund_returns.csv 2024 ok
[abl] DONE
