strategy,arm,oos_ir,minus_static,ci_x12,excl0
momentum,monthly,0.0432,0.1061,"[-0.007,+0.036]",False
momentum,static,-0.0629,0.0,"[+0.000,+0.000]",False
momentum,regime,0.0035,0.0664,"[+0.001,+0.022]",True
momentum,cluster_month_econ,0.0733,0.1362,"[-0.002,+0.035]",False
momentum,cluster_month_gp,0.0414,0.1043,"[-0.001,+0.028]",False
momentum,cluster_stock_econ,-0.0307,0.0323,"[-0.001,+0.021]",False
momentum,cluster_stock_gp,-0.0548,0.0082,"[-0.005,+0.011]",False
xgb,monthly,0.4223,-0.1623,"[-0.030,+0.015]",False
xgb,static,0.5846,0.0,"[+0.000,+0.000]",False
xgb,regime,0.7104,0.1258,"[-0.007,+0.038]",False
xgb,cluster_month_econ,0.4339,-0.1507,"[-0.030,-0.002]",True
xgb,cluster_month_gp,0.5846,0.0,"[+0.000,+0.000]",False
xgb,cluster_stock_econ,0.5618,-0.0228,"[-0.023,+0.013]",False
xgb,cluster_stock_gp,0.5846,0.0,"[+0.000,+0.000]",False
