strategy,cluster,E,share_mo,n_mo_c,cost_base_bpyr,cost_saved_bpyr,cost_saved_pct,saved_per_treated_mo_bp,turnover_removed,uniform_saved_matched_bpyr,cluster_minus_uniform_bpyr,net_base_pctyr,net_delta_pctyr
momentum,C0-winner,10,0.314,37,15.51,0.0,0.0,0.0,0.0,0.0,0.0,20.639,0.0
momentum,C0-winner,15,0.314,37,15.51,1.016,6.55,2.7464,0.3048,1.099,-0.083,20.639,-0.645
momentum,C0-winner,20,0.314,37,15.51,1.305,8.41,3.5261,0.3909,1.41,-0.105,20.639,-0.829
momentum,C0-winner,25,0.314,37,15.51,1.567,10.11,4.2359,0.4623,1.667,-0.1,20.639,-0.507
momentum,C0-winner,30,0.314,37,15.51,1.663,10.72,4.4943,0.4909,1.771,-0.108,20.639,-0.561
momentum,C0-winner,40,0.314,37,15.51,1.853,11.95,5.0092,0.5318,1.918,-0.065,20.639,-0.923
momentum,C0-winner,60,0.314,37,15.51,1.979,12.76,5.3477,0.5711,2.049,-0.07,20.639,-0.983
momentum,C0-winner,100,0.314,37,15.51,2.077,13.39,5.6126,0.5992,2.142,-0.065,20.639,-1.035
momentum,C1,10,0.373,44,15.51,0.0,0.0,0.0,0.0,0.0,0.0,20.639,0.0
momentum,C1,15,0.373,44,15.51,1.366,8.81,3.1054,0.4161,1.501,-0.135,20.639,-0.621
momentum,C1,20,0.373,44,15.51,1.78,11.48,4.0459,0.5675,2.037,-0.257,20.639,-1.156
momentum,C1,25,0.373,44,15.51,2.02,13.02,4.5904,0.6485,2.305,-0.285,20.639,-1.078
momentum,C1,30,0.373,44,15.51,2.089,13.47,4.7487,0.669,2.373,-0.284,20.639,-1.167
momentum,C1,40,0.373,44,15.51,2.178,14.04,4.9497,0.689,2.439,-0.261,20.639,-1.277
momentum,C1,60,0.373,44,15.51,2.215,14.28,5.033,0.7017,2.481,-0.266,20.639,-1.413
momentum,C1,100,0.373,44,15.51,2.25,14.51,5.1141,0.7136,2.521,-0.27,20.639,-1.659
momentum,C2,10,0.169,20,15.51,0.0,0.0,0.0,0.0,0.0,0.0,20.639,0.0
momentum,C2,15,0.169,20,15.51,0.482,3.11,2.4124,0.1078,0.389,0.094,20.639,0.001
momentum,C2,20,0.169,20,15.51,0.65,4.19,3.2492,0.1531,0.552,0.098,20.639,-0.017
momentum,C2,25,0.169,20,15.51,0.779,5.02,3.8964,0.1785,0.644,0.135,20.639,0.001
momentum,C2,30,0.169,20,15.51,0.907,5.85,4.5346,0.2098,0.757,0.15,20.639,0.062
momentum,C2,40,0.169,20,15.51,1.124,7.25,5.6214,0.2531,0.913,0.211,20.639,0.28
momentum,C2,60,0.169,20,15.51,1.329,8.57,6.6459,0.3048,1.099,0.23,20.639,0.738
momentum,C2,100,0.169,20,15.51,1.322,8.52,6.6085,0.3047,1.099,0.223,20.639,0.513
