strategy,arm,oos_ir,minus_static,excl0,p_boot,bh_sig
momentum,trained_argmax,0.0163,0.0793,False,0.248,False
momentum,trained_reg,-0.0519,0.011,False,0.917,False
reversal,trained_argmax,-0.0392,-0.0412,False,0.108,False
reversal,trained_reg,0.0021,0.0,False,0.0,True
lowvol,trained_argmax,0.0892,-0.0069,False,0.138,False
lowvol,trained_reg,0.0961,0.0,False,0.0,True
xgb,trained_argmax,0.6688,0.0842,False,0.32,False
xgb,trained_reg,0.5995,0.0149,False,0.823,False
value,trained_argmax,0.0862,0.0,False,0.0,True
value,trained_reg,0.0862,0.0,False,0.0,True
profitability,trained_argmax,0.3818,0.1772,False,0.043,False
profitability,trained_reg,0.3413,0.1367,True,0.015,True
investment,trained_argmax,0.3224,0.0098,False,0.944,False
investment,trained_reg,0.3125,0.0,False,0.0,True
