strategy,arm,oos_ir,minus_static,excl0,p_boot,bh_sig
momentum,panic_no_sell,-0.024,0.0389,False,0.899,False
momentum,panic_hold_losers,-0.0325,0.0304,False,0.907,False
momentum,panic_hold_losers_wf,-0.0547,0.0083,False,0.984,False
reversal,panic_no_sell,-0.2442,-0.2463,True,0.026,False
reversal,panic_hold_losers,-0.2069,-0.2089,False,0.053,False
reversal,panic_hold_losers_wf,-0.3272,-0.3292,True,0.002,True
lowvol,panic_no_sell,-0.045,-0.1411,False,0.106,False
lowvol,panic_hold_losers,0.0065,-0.0896,False,0.501,False
lowvol,panic_hold_losers_wf,-0.0193,-0.1155,False,0.311,False
xgb,panic_no_sell,0.5814,-0.0032,False,0.885,False
xgb,panic_hold_losers,0.2616,-0.323,False,0.13,False
xgb,panic_hold_losers_wf,0.4417,-0.1429,False,0.701,False
value,panic_no_sell,0.1092,0.023,False,0.646,False
value,panic_hold_losers,0.0088,-0.0775,False,0.498,False
value,panic_hold_losers_wf,0.0603,-0.026,False,0.894,False
profitability,panic_no_sell,0.2615,0.0569,False,0.545,False
profitability,panic_hold_losers,0.2624,0.0578,False,0.428,False
profitability,panic_hold_losers_wf,0.3081,0.1035,False,0.297,False
investment,panic_no_sell,0.2229,-0.0897,False,0.452,False
investment,panic_hold_losers,0.2499,-0.0626,False,0.557,False
investment,panic_hold_losers_wf,0.2805,-0.0321,False,0.726,False
