strategy,kappa,beta,cost_base_bpyr,shaped_minus_uniform_bpyr,shaped_minus_uniform_pct,at_turnover_yr,shaped_cost_bpyr,uniform_cost_bpyr
momentum,0.0,0.5,103.27,2.3324,2.26,6.639,16.286,18.618
momentum,0.33,0.0,103.27,1.1027,1.07,33.714,72.632,73.735
momentum,0.33,0.5,103.27,2.1272,2.06,29.744,63.073,65.201
momentum,0.67,0.0,103.27,1.8992,1.84,34.57,73.63,75.529
momentum,0.67,0.5,103.27,3.1153,3.02,30.423,63.56,66.675
reversal,0.0,0.5,364.39,7.2046,1.98,25.941,67.357,74.561
reversal,0.33,0.0,364.39,1.1526,0.32,3.22,11.213,12.366
reversal,0.33,0.5,364.39,6.1895,1.7,25.448,67.023,73.213
reversal,0.67,0.0,364.39,1.4986,0.41,4.549,14.506,16.004
reversal,0.67,0.5,364.39,5.2069,1.43,97.148,268.98,274.187
lowvol,0.0,0.5,77.02,1.904,2.47,29.674,69.826,71.73
lowvol,0.33,0.0,77.02,0.1748,0.23,6.761,16.248,16.423
lowvol,0.33,0.5,77.02,1.4873,1.93,29.964,70.993,72.48
lowvol,0.67,0.0,77.02,0.3843,0.5,6.833,16.185,16.569
lowvol,0.67,0.5,77.02,1.6675,2.16,30.003,70.914,72.581
xgb,0.0,0.5,31.25,0.2405,0.77,22.385,6.125,6.366
xgb,0.33,0.0,31.25,0.0303,0.1,107.878,31.125,31.156
xgb,0.33,0.5,31.25,0.2581,0.83,22.808,6.226,6.484
xgb,0.67,0.0,31.25,0.0452,0.14,107.782,31.081,31.126
xgb,0.67,0.5,31.25,0.2624,0.84,22.885,6.243,6.506
value,0.0,0.5,29.21,0.6468,2.21,7.693,26.381,27.027
value,0.33,0.0,29.21,0.1939,0.66,3.583,14.581,14.775
value,0.33,0.5,29.21,0.6479,2.22,7.687,26.36,27.008
value,0.67,0.0,29.21,0.2212,0.76,3.61,14.628,14.849
value,0.67,0.5,29.21,0.596,2.04,5.96,21.048,21.644
profitability,0.0,0.5,25.19,1.1955,4.75,6.461,17.264,18.46
profitability,0.33,0.0,25.19,0.2856,1.13,8.273,23.888,24.174
profitability,0.33,0.5,25.19,1.0428,4.14,6.499,17.537,18.58
profitability,0.67,0.0,25.19,0.525,2.08,8.151,23.264,23.789
profitability,0.67,0.5,25.19,1.1226,4.46,6.589,17.741,18.864
investment,0.0,0.5,40.49,0.692,1.71,7.744,21.064,21.756
investment,0.33,0.0,40.49,0.1659,0.41,10.902,30.259,30.425
investment,0.33,0.5,40.49,0.5988,1.48,10.824,29.582,30.181
investment,0.67,0.0,40.49,0.1937,0.48,11.018,30.555,30.749
investment,0.67,0.5,40.49,0.731,1.81,10.883,29.643,30.374
