strategy,arm,cost_base_bpyr,adv_bpyr,adv_pct,n_op
momentum,mom_k33,13.42,-0.0035,-0.03,3
momentum,mom_k67,13.42,-0.0214,-0.16,3
momentum,pi_b50,13.42,0.0245,0.18,3
momentum,both,13.42,0.0073,0.05,3
reversal,mom_k33,38.57,0.0043,0.01,3
reversal,mom_k67,38.57,0.005,0.01,3
reversal,pi_b50,38.57,0.0966,0.25,3
reversal,both,38.57,0.1044,0.27,3
lowvol,mom_k33,6.67,-0.0064,-0.1,3
lowvol,mom_k67,6.67,-0.0098,-0.15,3
lowvol,pi_b50,6.67,0.0117,0.18,3
lowvol,both,6.67,0.0107,0.16,3
xgb,mom_k33,31.25,0.0069,0.02,3
xgb,mom_k67,31.25,0.0246,0.08,3
xgb,pi_b50,31.25,0.1031,0.33,3
xgb,both,31.25,0.1066,0.34,3
value,mom_k33,2.02,0.0023,0.11,3
value,mom_k67,2.02,0.0019,0.09,3
value,pi_b50,2.02,0.004,0.2,3
value,both,2.02,0.0042,0.21,3
profitability,mom_k33,1.51,0.0009,0.06,3
profitability,mom_k67,1.51,0.0003,0.02,3
profitability,pi_b50,1.51,0.0003,0.02,3
profitability,both,1.51,-0.0001,-0.01,3
investment,mom_k33,3.87,-0.001,-0.03,3
investment,mom_k67,3.87,0.0006,0.02,3
investment,pi_b50,3.87,0.0133,0.34,3
investment,both,3.87,0.0147,0.38,3
