strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
investment,monthly,0.0,2001,299,0.01783203965439219,0.09905921960825599,0.23771622750034077,-0.07319751825991672,-0.21709421052081707,0.055750781746370444,0.2598,0.05852669211902338,0.01783203965439219
investment,static,0.0,2001,299,0.021486736247042705,0.06761052928693531,0.3109137457602575,0.0,0.0,0.0,1.0,0.07452790179125503,0.021486736247042705
investment,gbm_conservative,0.0,2001,299,0.021197665103134925,0.071089591510713,0.3015825436032443,-0.009331202157013163,-0.04867241840012209,0.026195533691267585,0.6494,0.06982570148861537,0.021197665103134925
investment,gbm_flexible,0.0,2001,299,0.021486736247042705,0.06761052928693531,0.3109137457602575,0.0,0.0,0.0,1.0,0.07452790179125503,0.021486736247042705
investment,ridge_conservative,0.0,2001,299,0.021589827834961987,0.06850865505048101,0.2967364217882017,-0.014177323972055789,-0.08761479430273017,0.058647937833209554,0.7622,0.07452790179125503,0.021589827834961987
investment,ridge_flexible,0.0,2001,299,0.022615507282595967,0.0685227254051442,0.31129289148677824,0.0003791457265207576,-0.09001701002389473,0.0819071207736639,0.9092,0.07452790179125503,0.022615507282595967
investment,mlp_conservative,0.0,2001,299,0.02100386611020065,0.06766314247566584,0.30284883608424934,-0.008064909676008147,-0.02601020587823382,0.0012208318476219554,0.4026,0.06132012417743067,0.02100386611020065
investment,mlp_flexible,0.0,2001,299,0.021486736247042705,0.06761052928693531,0.3109137457602575,0.0,0.0,0.0,1.0,0.07452790179125503,0.021486736247042705
investment,rebound_rule,0.0,2001,299,0.021857725507528902,0.06829203473308151,0.3201123649966413,0.00919861923638382,-0.02960938023484217,0.05804621132013384,0.7514,0.06316819989584552,0.021857725507528902
investment,cluster_rule,0.0,2001,299,0.01912122539733458,0.0699604589161063,0.2785847008307076,-0.03232904492954991,-0.06812947072626031,-0.0027325669295706224,0.0282,0.0457353641177086,0.01912122539733458
investment,monthly,0.5,2001,299,0.01783203965439219,0.09905921960825599,0.23771622750034077,0.003125495887539159,-0.2151385580915028,0.20826145460362375,0.99,0.05852669211902338,-0.5765232779951439
investment,static,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,gbm_conservative,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,gbm_flexible,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,ridge_conservative,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,ridge_flexible,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,mlp_conservative,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,mlp_flexible,0.5,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.26646252066707893
investment,rebound_rule,0.5,2001,299,0.01469049317331537,0.046816644024726226,0.252496761335963,0.017906029723161382,-0.008612907331354612,0.04892069203936339,0.1856,-0.07195878854815148,-0.266209370975042
investment,monthly,1.0,2001,299,0.01783203965439219,0.09905921960825599,0.23771622750034077,0.003125495887539159,-0.2151385580915028,0.20826145460362375,0.99,0.05852669211902338,-1.1708785956446799
investment,static,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,gbm_conservative,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,gbm_flexible,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,ridge_conservative,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,ridge_flexible,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,mlp_conservative,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,mlp_flexible,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,rebound_rule,1.0,2001,299,0.01469049317331537,0.046816644024726226,0.252496761335963,0.017906029723161382,-0.008612907331354612,0.04892069203936339,0.1856,-0.07195878854815148,-0.5471092351233994
investment,cluster_rule,1.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-0.546705811282659
investment,monthly,2.0,2001,299,0.01783203965439219,0.09905921960825599,0.23771622750034077,0.003125495887539159,-0.2151385580915028,0.20826145460362375,0.99,0.05852669211902338,-2.3595892309437514
investment,static,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,gbm_conservative,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,gbm_flexible,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,ridge_conservative,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,ridge_flexible,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,mlp_conservative,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,mlp_flexible,2.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-1.1071923925138192
investment,rebound_rule,2.0,2001,299,0.01469049317331537,0.046816644024726226,0.252496761335963,0.017906029723161382,-0.008612907331354612,0.04892069203936339,0.1856,-0.07195878854815148,-1.1089089634201144
investment,monthly,5.0,2001,299,0.01783203965439219,0.09905921960825599,0.23771622750034077,0.003125495887539159,-0.2151385580915028,0.20826145460362375,0.99,0.05852669211902338,-5.925721136840968
investment,static,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,gbm_conservative,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,gbm_flexible,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,ridge_conservative,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,ridge_flexible,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,mlp_conservative,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,mlp_flexible,5.0,2001,299,0.013780769948501186,0.04670721510259669,0.2345907316128016,0.0,0.0,0.0,1.0,-0.08592291862995528,-2.7886521362073
investment,rebound_rule,5.0,2001,299,0.01469049317331537,0.046816644024726226,0.252496761335963,0.017906029723161382,-0.008612907331354612,0.04892069203936339,0.1856,-0.07195878854815148,-2.7943081483102583
