strategy,arm,lam,oos_start,n_mo,net_ann,to_mo,net_ir,minus_static,ci_lo,ci_hi,p,net_ir_2013,obj
value,monthly,0.0,2001,299,0.003998741520298428,0.0544895346388831,0.04046349534874606,-0.04426705478443517,-0.19596469742883188,0.09580480522908305,0.5332,-0.05811275256137131,0.003998741520298428
value,static,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,gbm_conservative,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,gbm_flexible,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,ridge_conservative,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,ridge_flexible,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,mlp_conservative,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,mlp_flexible,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,rebound_rule,0.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,0.006613372121374346
value,cluster_rule,0.0,2001,299,0.005489151675268599,0.017292210169173337,0.07010293806003758,-0.014627612073143656,-0.04651901680457326,0.009245070407561095,0.2642,-0.11329217331895045,0.005489151675268599
value,monthly,0.5,2001,299,0.003998741520298428,0.0544895346388831,0.04046349534874606,-0.04426705478443517,-0.19596469742883188,0.09580480522908305,0.5332,-0.05811275256137131,-0.32293846631300016
value,static,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,gbm_conservative,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,gbm_flexible,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,ridge_conservative,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,ridge_flexible,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,mlp_conservative,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,mlp_flexible,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,rebound_rule,0.5,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.090133350488065
value,monthly,1.0,2001,299,0.003998741520298428,0.0544895346388831,0.04046349534874606,-0.04426705478443517,-0.19596469742883188,0.09580480522908305,0.5332,-0.05811275256137131,-0.6498756741462988
value,static,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,gbm_conservative,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,gbm_flexible,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
value,ridge_conservative,1.0,2001,299,0.006613372121374346,0.016124453768239892,0.08473055013318123,0.0,0.0,0.0,1.0,-0.10097267630855151,-0.18688007309750437
