strategy,arm,oos_ir,minus_static,excl0,p_boot,bh_sig
momentum,econ,-0.0469,0.016,False,0.699,False
momentum,trained_argmax,0.0608,0.1237,False,0.173,False
momentum,trained_reg,-0.0519,0.011,False,0.917,False
reversal,econ,-0.0876,-0.0896,False,0.121,False
reversal,trained_argmax,-0.0028,-0.0048,False,0.814,False
reversal,trained_reg,0.0021,0.0,False,0.0,True
lowvol,econ,0.1049,0.0087,False,0.785,False
lowvol,trained_argmax,0.0906,-0.0056,False,0.814,False
lowvol,trained_reg,0.0961,0.0,False,0.0,True
xgb,econ,0.4703,-0.1143,False,0.211,False
xgb,trained_argmax,0.669,0.0844,False,0.404,False
xgb,trained_reg,0.5995,0.0149,False,0.823,False
value,econ,0.068,-0.0182,True,0.025,False
value,trained_argmax,0.05,-0.0362,False,0.243,False
value,trained_reg,0.0862,0.0,False,0.0,True
profitability,econ,0.249,0.0444,False,0.55,False
profitability,trained_argmax,0.2302,0.0256,False,0.765,False
profitability,trained_reg,0.3413,0.1367,True,0.015,False
investment,econ,0.3456,0.0331,False,0.067,False
investment,trained_argmax,0.3073,-0.0052,False,0.596,False
investment,trained_reg,0.3125,0.0,False,0.0,True
