strategy,stress,arm,minus_static,excl0,p_boot,bh_sig
momentum,hmm,argmax,0.1499,False,0.279,False
momentum,hmm,reg,0.0,False,0.0,True
momentum,multi,argmax,0.0913,False,0.356,False
momentum,multi,reg,0.0,False,0.0,True
reversal,hmm,argmax,0.1128,False,0.273,False
reversal,hmm,reg,0.0,False,0.0,True
reversal,multi,argmax,-0.028,False,0.46,False
reversal,multi,reg,0.0,False,0.0,True
lowvol,hmm,argmax,-0.0552,False,0.096,False
lowvol,hmm,reg,0.0,False,0.0,True
lowvol,multi,argmax,0.0458,False,0.265,False
lowvol,multi,reg,0.0,False,0.0,True
xgb,hmm,argmax,0.4074,False,0.058,False
xgb,hmm,reg,0.1557,False,0.583,False
xgb,multi,argmax,-0.0228,False,0.777,False
xgb,multi,reg,0.0,False,0.0,True
value,hmm,argmax,0.0,False,0.0,True
value,hmm,reg,0.0,False,0.0,True
value,multi,argmax,0.0,False,0.0,True
value,multi,reg,0.0,False,0.0,True
profitability,hmm,argmax,-0.1042,False,0.241,False
profitability,hmm,reg,0.0,False,0.0,True
profitability,multi,argmax,-0.1536,False,0.15,False
profitability,multi,reg,0.0,False,0.0,True
investment,hmm,argmax,-0.0164,False,0.554,False
investment,hmm,reg,0.0,False,0.0,True
investment,multi,argmax,-0.0323,False,0.255,False
investment,multi,reg,0.0,False,0.0,True
