policy,to_mo,gross_ir,net_ir_0bp,net_ir_5bp,net_ir_10bp,net_ir_20bp,net_ir_50bp,breakeven_bp,d_vs_monthly_10bp_CI
monthly,0.757,0.211,0.211,0.136,0.06,-0.09,-0.54,14.024,"[+0.000,+0.000]"
panic_no_sell,0.557,0.327,0.327,0.271,0.215,0.104,-0.226,29.382,"[-0.018,+0.059]"
flip_freeze,0.13,0.196,0.196,0.185,0.173,0.149,0.078,82.876,"[-0.059,+0.069]"
calm_bench,0.271,0.31,0.31,0.265,0.221,0.131,-0.136,34.663,"[-0.059,+0.050]"
band15,0.675,0.347,0.347,0.279,0.212,0.077,-0.329,25.668,"[+0.001,+0.038]"
band20,0.631,0.402,0.402,0.339,0.276,0.15,-0.227,31.938,"[+0.011,+0.047]"
band30,0.55,0.388,0.388,0.333,0.277,0.166,-0.168,34.915,"[-0.001,+0.052]"
band40,0.496,0.315,0.315,0.265,0.215,0.114,-0.188,31.362,"[-0.006,+0.041]"
"pi_band(40, 15)",0.538,0.381,0.381,0.328,0.276,0.17,-0.147,36.083,"[+0.000,+0.048]"
"pi_band(40, 20)",0.528,0.376,0.376,0.324,0.271,0.166,-0.149,35.799,"[+0.003,+0.047]"
"pi_band(30, 15)",0.578,0.44,0.44,0.384,0.327,0.213,-0.129,38.702,"[+0.007,+0.055]"
