strategy,to_mo,gross_ir,net_ir_5bp,net_ir_10bp,net_ir_20bp,breakeven_bp,d_vs_mom_band40_CI,bench_ir_ref
"PRODUCT_patient(x0.4,bench)",0.129,-0.032,-0.056,-0.08,-0.128,-6.509,"[-0.083,+0.043]",0.0
"PRODUCT_patient(x0.4,tilt)",0.393,0.103,0.056,0.008,-0.086,10.897,"[-0.064,+0.044]",0.0
"PRODUCT_patient(x0.3,bench)",0.129,-0.059,-0.083,-0.106,-0.153,-12.173,"[-0.083,+0.041]",0.0
"PRODUCT_patient(x0.3,tilt)",0.372,-0.002,-0.048,-0.093,-0.184,-0.259,"[-0.074,+0.036]",0.0
mom_monthly,0.315,0.065,0.033,0.002,-0.061,10.255,"[-0.033,+0.003]",0.0
mom_band20,0.161,0.094,0.079,0.063,0.032,30.216,"[-0.024,+0.013]",0.0
mom_band30,0.132,0.096,0.083,0.07,0.044,37.046,"[-0.017,+0.005]",0.0
mom_band40,0.109,0.144,0.133,0.122,0.101,67.164,"[+0.000,+0.000]",0.0
mom_freq3,0.183,0.094,0.076,0.058,0.023,26.345,"[-0.028,+0.015]",0.0
mom_freq6,0.127,0.028,0.017,0.005,-0.017,12.359,"[-0.032,+0.002]",0.0
mom_freq12,0.086,0.047,0.04,0.033,0.018,31.941,"[-0.051,+0.022]",0.0
pi_monthly_capped,0.739,0.186,0.096,0.006,-0.175,10.321,"[-0.053,+0.040]",0.0
ALT_pi_scale,0.277,0.279,0.224,0.169,0.058,25.213,"[-0.056,+0.044]",0.0
ALT_bsc_mom,0.269,-0.192,-0.224,-0.256,-0.32,-29.907,"[-0.071,-0.010]",0.0
