e_calm,e_panic,kind,to_mo,n_names,gross_ir,net_ir_0bp,net_ir_5bp,net_ir_10bp,net_ir_20bp,net_ir_50bp,breakeven_bp,act_calm_mo,act_panic_mo,to_calm_mo,to_panic_mo
10,10,diag,0.7566,100.0,0.2106,0.2106,0.1355,0.0604,-0.0897,-0.5398,14.0241,0.0004,0.0072,0.7421,0.8001
10,15,tight_calm,0.7412,101.6201,0.291,0.291,0.2172,0.1435,-0.0041,-0.4467,19.7222,0.0004,0.0104,0.7417,0.7396
10,20,tight_calm,0.7331,102.9832,0.2937,0.2937,0.22,0.1461,-0.0015,-0.4443,19.8964,0.0004,0.0104,0.7417,0.7074
10,30,tight_calm,0.7164,105.6089,0.2326,0.2326,0.1593,0.0859,-0.0609,-0.5005,15.8524,0.0004,0.0078,0.7412,0.6424
10,40,tight_calm,0.705,108.0335,0.2124,0.2124,0.1394,0.0664,-0.0796,-0.5169,14.5456,0.0004,0.0069,0.7411,0.5975
15,10,tight_panic,0.7022,107.1397,0.3027,0.3027,0.2309,0.1591,0.0155,-0.4154,21.0755,0.0015,0.0072,0.668,0.804
15,15,diag,0.6852,108.8212,0.3827,0.3827,0.3124,0.2419,0.1009,-0.3226,27.1528,0.0014,0.0104,0.6673,0.7385
15,20,tight_calm,0.6757,110.324,0.3736,0.3736,0.3037,0.2338,0.0937,-0.327,26.6873,0.0014,0.0099,0.6666,0.7027
15,30,tight_calm,0.6581,113.0838,0.3142,0.3142,0.2449,0.1756,0.0368,-0.38,22.6461,0.0014,0.0075,0.6661,0.6344
15,40,tight_calm,0.6466,115.5866,0.2942,0.2942,0.2254,0.1565,0.0187,-0.3948,21.3555,0.0014,0.0067,0.6659,0.5889
20,10,tight_panic,0.6699,113.5196,0.313,0.313,0.2425,0.1719,0.0305,-0.3941,22.157,0.0015,0.0072,0.6249,0.804
20,15,tight_panic,0.6524,115.257,0.3938,0.3938,0.3246,0.2554,0.1166,-0.301,28.3874,0.0014,0.0104,0.6238,0.7378
20,20,diag,0.6424,116.838,0.3849,0.3849,0.3162,0.2475,0.1097,-0.305,27.9478,0.0014,0.0099,0.6227,0.7012
20,30,tight_calm,0.6244,119.7095,0.3261,0.3261,0.258,0.1899,0.0535,-0.357,23.9125,0.0014,0.0075,0.6218,0.632
20,40,tight_calm,0.6125,122.3631,0.3072,0.3072,0.2396,0.1719,0.0365,-0.3707,22.6893,0.0014,0.0067,0.6214,0.5859
30,10,tight_panic,0.609,124.8827,0.3607,0.3607,0.2951,0.2294,0.0978,-0.2978,27.424,0.002,0.0072,0.5451,0.7992
30,15,tight_panic,0.5901,126.7654,0.4501,0.4501,0.386,0.3218,0.1931,-0.195,34.9465,0.0019,0.0105,0.5426,0.7316
30,20,tight_panic,0.5797,128.5531,0.4347,0.4347,0.3711,0.3074,0.1797,-0.2056,34.0141,0.0019,0.0099,0.5411,0.6947
30,30,diag,0.5606,131.7877,0.3729,0.3729,0.3101,0.2473,0.1212,-0.2585,29.5945,0.0018,0.0076,0.5399,0.6221
30,40,tight_calm,0.5485,134.6313,0.3529,0.3529,0.2906,0.2283,0.1033,-0.2728,28.251,0.0018,0.0067,0.5392,0.5763
40,10,tight_panic,0.5609,136.2123,0.3992,0.3992,0.337,0.2748,0.1502,-0.2247,32.0239,0.0023,0.0072,0.4805,0.8005
40,15,tight_panic,0.5408,138.2514,0.5101,0.5101,0.4496,0.3889,0.2671,-0.1006,41.8159,0.0023,0.0107,0.4767,0.7315
40,20,tight_panic,0.5301,140.1899,0.4938,0.4938,0.4337,0.3735,0.2526,-0.1127,40.7713,0.0023,0.0102,0.475,0.6942
40,30,tight_panic,0.5093,143.8268,0.4283,0.4283,0.3691,0.3098,0.1908,-0.1685,35.9578,0.0022,0.0078,0.4735,0.6161
40,40,diag,0.4969,147.0559,0.4114,0.4114,0.3528,0.294,0.1761,-0.1795,34.8845,0.0022,0.0071,0.472,0.5711
