year,rule,combo,cv_mean,n_folds,n_eligible
2011,argmax,DD+VOL,0.6773354288427905,7,18
2011,rule_r,DD,0.6154039397696042,7,18
2012,argmax,DD+SKEW+TERM,0.5728332325325101,8,20
2012,rule_r,DD,0.4820103291332043,8,20
2013,argmax,DD+VOL,0.4791525403067544,9,13
2013,rule_r,DD,0.2820555417362132,9,13
2014,argmax,DD+VOL,0.5616346238362709,10,10
2014,rule_r,DD,0.35762729975542207,10,10
2015,argmax,DD+VOL,0.4900295877928871,11,10
2015,rule_r,DD,0.3770923736891054,11,10
2016,argmax,DD+VOL,0.32832155447352673,12,21
2016,rule_r,DD,0.298379467375114,12,21
2017,argmax,DD+VOL+CS+LVIX,0.393253290186373,13,20
2017,rule_r,DD,0.3714422525168563,13,20
2018,argmax,DD+LVIX+TERM,0.34754838722897624,14,16
2018,rule_r,DD,0.29365359088349635,14,16
2019,argmax,DD+LVIX+TERM,0.38834748046683365,15,10
2019,rule_r,DD,0.26324455323619617,15,10
2020,argmax,DD+REL_N+LVIX,0.3719670800188537,16,10
2020,rule_r,DD,0.22077442980705736,16,10
2021,argmax,DD+REL_N+LVIX,0.4857258277243731,17,14
2021,rule_r,DD,0.3396596425841716,17,14
2022,argmax,DD+REL_N+LVIX,0.316669036033232,18,20
2022,rule_r,DD,0.2291969251261219,18,20
2023,argmax,DD+CS+LVIX,0.3509441698008064,19,16
2023,rule_r,DD,0.2469881345343349,19,16
2024,argmax,DD+CS+LVIX,0.39120636322957036,20,18
2024,rule_r,DD,0.30752475948006996,20,18
2025,argmax,DD+VOL+CS+LVIX,0.4104510736944138,21,21
2025,rule_r,DD,0.33645830736942245,21,21
