gamma,sharpe,ann_ret,ann_vol,max_dd,ir
0.0,0.778,0.1818,0.2163,-0.324,0.211
0.05,0.838,0.19,0.2091,-0.306,0.285
0.1,0.782,0.1715,0.2037,-0.322,0.151
0.15,0.817,0.1727,0.1964,-0.294,0.169
0.2,0.85,0.1772,0.1932,-0.283,0.21
0.25,0.896,0.1833,0.1892,-0.274,0.269
0.3,0.902,0.1796,0.1845,-0.269,0.241
0.35,0.917,0.1797,0.1816,-0.264,0.248
0.4,0.894,0.1716,0.1784,-0.266,0.175
0.45,0.905,0.1693,0.1739,-0.237,0.155
0.5,0.925,0.1713,0.1721,-0.245,0.177
0.6,0.947,0.1641,0.1615,-0.225,0.116
0.7,1.048,0.1689,0.1499,-0.175,0.178
0.8,1.092,0.1718,0.1461,-0.175,0.218
0.9,1.096,0.1676,0.1422,-0.174,0.165
1.0,1.114,0.1663,0.1391,-0.179,0.151
