predict_year,train_months,crisis_months_in_train,xgb_train_rows,xgb_test_rows,n_portfolio_months,mean_pi_predicted_year,ann_sharpe_year,elapsed_s
2000,109,8,585126,66427,12,0.9947646715201411,-0.03420698494315124,305.1903750896454
2001,121,18,651553,60719,12,1.0,-0.8093637933597613,288.9062819480896
2002,133,30,712272,55867,12,0.9333333333333335,-1.036378378402267,316.6971502304077
2003,145,40,768139,54290,12,0.9999921608137252,3.1029179572493883,341.66614985466003
2004,157,40,822429,52989,12,0.44544201492314844,0.9502339240550992,380.38694024086
2005,169,40,875418,51226,12,0.01053235484077338,1.3434021652609203,412.4148962497711
2006,181,40,926644,50952,12,0.13366067127471912,0.40818711350662246,443.530944108963
2007,193,40,977596,49645,12,0.5098620255515727,0.7123128730660778,479.5201849937439
2008,205,43,1027241,46340,12,0.06666881040156042,-1.6257222713841477,509.38750314712524
2009,217,55,1073581,43939,12,0.32276828292786214,1.5477440762400079,522.0779557228088
2010,229,61,1117520,43494,12,0.43589420806557966,1.6018574826794758,533.7569918632507
2011,241,61,1161014,42075,12,0.4182326276368857,-0.3863961425794503,557.0074241161346
2012,253,61,1203089,40503,12,0.7097221396424103,2.3739108413238315,580.7659890651703
2013,265,61,1243592,39980,12,0.0007898139654739728,2.789989305096842,607.1450707912445
2014,277,61,1283572,39813,12,6.710345966696807e-05,0.8744215581777517,631.7645449638367
2015,289,61,1323385,39749,12,0.41001498206524367,-0.4239065277239253,657.2923450469971
2016,301,61,1363134,39321,12,0.415750396875719,2.3830217615623406,685.609475851059
2017,313,61,1402455,38890,12,0.001334958007860671,2.5207113735509603,713.4025530815125
2018,325,61,1441345,38339,12,0.15139217073056513,0.39316866919987475,737.4768857955933
2019,337,61,1479684,37789,12,0.2925059787060725,0.5911594136649068,763.932379245758
2020,349,61,1517473,38121,12,0.5568044107872574,1.9963427651697454,793.1467130184174
2021,361,64,1555594,40113,12,1.846052282126055e-05,0.6393968753230701,816.8268432617188
2022,373,64,1595707,42110,12,0.7499607875250233,0.4048161652169144,846.7688069343567
2023,385,64,1637817,42840,12,0.7775858186769913,2.0375799206827896,870.2339038848877
2024,397,64,1680657,37444,11,0.9875594936635905,1.729224680520914,915.6439571380615
