strategy,window,mo,ann,vol,sharpe,mdd,calm,panic
SPMO replica,FULL TEST 2011-2024,167,0.1512032465106221,0.15390386446069937,0.9962283553732938,-0.25983547136543705,0.7006010783888682,1.443740872972158
SPMO (real ETF),FULL TEST 2011-2024,109,0.16899200402668324,0.1636220941845546,1.0409003799836765,-0.21743890650163727,1.3155855047843474,0.8646937492885036
S&P500 (cap-wt),FULL TEST 2011-2024,167,0.14075716285806306,0.14368260433877184,0.9929898628191975,-0.24279135008834205,0.7636330378399444,1.337971558850893
XGB LO (tr1000/S&P500),FULL TEST 2011-2024,167,0.19612326392823687,0.2004829773820709,0.9981015589311756,-0.2794255391185382,0.7258231747492766,1.3902786661735809
XGB L/S (tr1000/S&P500),FULL TEST 2011-2024,167,0.07753091146267344,0.15398059923134946,0.5624200315646432,-0.2130850601665155,0.1998728495590698,1.1430814615222895
SPMO replica,OVERLAP 2015-2024 (vs real SPMO),109,0.17001507636678603,0.17077993601832284,1.0093976689794644,-0.25983547136543705,0.6513861036174469,1.467290838261092
SPMO (real ETF),OVERLAP 2015-2024 (vs real SPMO),109,0.16899200402668324,0.1636220941845546,1.0409003799836765,-0.21743890650163727,1.3155855047843474,0.8646937492885036
S&P500 (cap-wt),OVERLAP 2015-2024 (vs real SPMO),109,0.14782802348541813,0.15660898384274793,0.9631897635856365,-0.24279135008834185,0.7242003403881768,1.2627974256818968
XGB LO (tr1000/S&P500),OVERLAP 2015-2024 (vs real SPMO),109,0.2638798599863439,0.2126296747766662,1.2158164755269731,-0.2581594545792345,0.8455208379793082,1.685469323411835
XGB L/S (tr1000/S&P500),OVERLAP 2015-2024 (vs real SPMO),109,0.12728101767638056,0.15794849839057992,0.8398311211629987,-0.2130850601665156,0.3227000540831474,1.6372750641490166
