strategy,window,mo,ann,vol,sharpe,mdd,calm,panic
S&P500 proxy (cap-wt),FULL TEST 2011-2024,167,0.14075716285806328,0.14368260433877195,0.9929898628191983,-0.24279135008834227,0.7636330378399454,1.3379715588508927
SPMO replica (risk-adj),FULL TEST 2011-2024,167,0.15120324651062234,0.15390386446069948,0.9962283553732943,-0.25983547136543744,0.7006010783888686,1.443740872972158
SPMO (real ETF),FULL TEST 2011-2024,109,0.16899200402668324,0.1636220941845546,1.0409003799836765,-0.21743890650163727,1.3155855047843474,0.8646937492885036
XGB long-short,FULL TEST 2011-2024,167,0.029770705088004723,0.14254805226389555,0.27689198077645466,-0.29828080200425117,-0.04890989997121755,0.7369756805264029
XGB long-only (monthly),FULL TEST 2011-2024,167,0.16818429780922362,0.20499146661963433,0.8638701088514933,-0.3322919938129579,0.5338710387165805,1.3239732445243115
XGB SPMO-style,FULL TEST 2011-2024,167,0.14718143265098682,0.1925145469822235,0.8126061629840471,-0.26932948733867484,0.5343547753089597,1.1890162305989103
S&P500 proxy (cap-wt),OVERLAP 2015-2024 (vs real SPMO),109,0.14782802348541835,0.15660898384274805,0.963189763585637,-0.2427913500883422,0.7242003403881779,1.262797425681897
SPMO replica (risk-adj),OVERLAP 2015-2024 (vs real SPMO),109,0.17001507636678603,0.17077993601832295,1.0093976689794646,-0.2598354713654373,0.6513861036174474,1.4672908382610916
SPMO (real ETF),OVERLAP 2015-2024 (vs real SPMO),109,0.16899200402668324,0.1636220941845546,1.0409003799836765,-0.21743890650163727,1.3155855047843474,0.8646937492885036
XGB long-short,OVERLAP 2015-2024 (vs real SPMO),109,0.07015858316633028,0.14657739028715994,0.5369346082569516,-0.20478153168078442,0.04506373881396335,1.2068869785559584
XGB long-only (monthly),OVERLAP 2015-2024 (vs real SPMO),109,0.21889992117249069,0.22020757783502387,1.0142998721624368,-0.3322919938129578,0.5529130205245342,1.5976427518450358
XGB SPMO-style,OVERLAP 2015-2024 (vs real SPMO),109,0.1763707293006329,0.19752639782988,0.9256048524548227,-0.22717561076714995,0.5444542626857355,1.3658101623919612
