strategy,full_mo,full_ann,full_vol,full_sharpe,ov_mo,ov_ann,ov_vol,ov_sharpe
Top-100,167,0.1877233000964731,0.2049539535056755,0.9446711554922508,109,0.22848029426295002,0.22075270774129363,1.0464519878618683
Top-250,167,0.1873962289803084,0.19747261115638598,0.9718282790876578,109,0.24059029822501432,0.21465525787869047,1.1176630352861758
Top-500,167,0.16818429780922362,0.20499146661963433,0.8638701088514933,109,0.21889992117249069,0.22020757783502387,1.0142998721624368
Top-1000,167,0.19338927308455212,0.20620487927753647,0.9644110472585316,109,0.2663071372585599,0.2212323686956614,1.1854220133913538
Top-2000,167,0.22407667207135296,0.22241225694259886,1.0232411577184797,109,0.294686343807814,0.24418095234361664,1.1853860700126708
Top-3000,167,0.23777699073711833,0.23155874883878164,1.0395612840631376,109,0.3099963006129298,0.2515890073428198,1.2043784221065528
Full (~3.3k),167,0.295118528511942,0.27019887886868904,1.0943376729710694,109,0.37077026319934503,0.3029670518245837,1.1957543193635123
SPMO replica,167,0.1512032465106221,0.15390386446069937,0.9962283553732938,109,0.17001507636678603,0.17077993601832284,1.0093976689794644
S&P500 (cap-wt),167,0.14075716285806306,0.14368260433877184,0.9929898628191975,109,0.14782802348541813,0.15660898384274793,0.9631897635856365
SPMO (real ETF),109,0.16899200402668324,0.1636220941845546,1.0409003799836765,109,0.16899200402668324,0.1636220941845546,1.0409003799836765
