date,xs_std,p90_p10,iqr,n,year
2004-11-30,0.07539046088916003,0.14130349999999997,0.06850824999999999,498,2004
2004-12-31,0.06155897818323239,0.14038420000000001,0.06182025,498,2004
2005-01-31,0.06423246190200639,0.15580020000000003,0.0742585,500,2005
2005-02-28,0.07131455034165315,0.16280699999999998,0.08001749999999999,499,2005
2005-03-31,0.06457730137674378,0.13330720000000001,0.0657515,499,2005
2005-04-29,0.06678974645455323,0.1537029,0.084791,500,2005
2005-05-31,0.06627044160981795,0.1503349,0.07485225,500,2005
2005-06-30,0.06245437858368303,0.13920470000000001,0.07240474999999999,500,2005
2005-07-29,0.06873813805897698,0.15586840000000002,0.06633775,500,2005
2005-08-31,0.06207096476145768,0.1324388,0.068812,499,2005
2005-09-30,0.07001110898432832,0.1622992,0.0817365,499,2005
2005-10-31,0.06835277574364979,0.1711677,0.08482,498,2005
2005-11-30,0.06844657406831459,0.15424930000000006,0.0804315,500,2005
2005-12-30,0.04854387378392432,0.11495990000000003,0.05844375,500,2005
2006-01-31,0.0872724864096147,0.19833130000000004,0.09580074999999999,498,2006
2006-02-28,0.07057348757632563,0.15454220000000002,0.06593974999999999,500,2006
2006-03-31,0.060943843641029054,0.13768410000000003,0.0700375,498,2006
2006-04-28,0.06929705601590508,0.1624988,0.07726,499,2006
2006-05-31,0.06278185768238505,0.15012520000000001,0.06879,497,2006
2006-06-30,0.05897765201257971,0.1372182,0.06892525000000001,500,2006
2006-07-31,0.07423422293312477,0.19213180000000002,0.094802,499,2006
2006-08-31,0.06895638226690892,0.15458330000000003,0.07050175,498,2006
2006-09-29,0.06260417259682585,0.1438431,0.06659925,500,2006
2006-10-31,0.06715290211261839,0.14320919999999998,0.0706825,499,2006
2006-11-30,0.06439386300592481,0.13630520000000002,0.07236799999999999,498,2006
2006-12-29,0.05233693790041755,0.1278441,0.06197175,500,2006
2007-01-31,0.06287390736286949,0.1424278,0.07508450000000001,499,2007
2007-02-28,0.057928043196737715,0.1403252,0.060175,500,2007
2007-03-30,0.055639266468322436,0.127946,0.0577615,499,2007
2007-04-30,0.06788373652389247,0.1306946,0.06966000000000001,499,2007
2007-05-31,0.059182706076745556,0.1395151,0.06596925000000001,500,2007
2007-06-29,0.05566121939632464,0.12437230000000002,0.0583955,500,2007
2007-07-31,0.07926944742944712,0.1588074,0.0813075,499,2007
2007-08-31,0.06055061757487528,0.1349881,0.0718855,498,2007
2007-09-28,0.06811885967128326,0.157467,0.0800695,500,2007
2007-10-31,0.097495627030412,0.21916580000000008,0.10292475000000001,500,2007
2007-11-30,0.07695509037943074,0.16925719999999997,0.08095275,500,2007
2007-12-31,0.08416578540723108,0.18437570000000003,0.08052975,500,2007
2008-01-31,0.09358654576276869,0.2294482,0.11193449999999999,500,2008
2008-02-29,0.0951949862538051,0.23555379999999998,0.10962749999999999,499,2008
2008-03-31,0.07857714222269142,0.17306400000000005,0.08208299999999999,497,2008
2008-04-30,0.0990671738281579,0.2221613,0.11029425000000001,500,2008
2008-05-30,0.09144979099880539,0.18994399999999997,0.1006055,499,2008
2008-06-30,0.1122552927160064,0.25576940000000004,0.12464925000000002,498,2008
2008-07-31,0.1297140792628472,0.30234099999999997,0.1434625,499,2008
2008-08-29,0.10905904596849836,0.1698702,0.0773985,500,2008
2008-09-30,0.12899335831322795,0.2654265,0.129442,500,2008
2008-10-31,0.15062687796061655,0.3509806,0.17276749999999996,499,2008
2008-11-28,0.1259885986093925,0.3135556,0.15328524999999998,500,2008
2008-12-31,0.12846285718906725,0.27493770000000023,0.1439065,500,2008
2009-01-30,0.12545375799380218,0.28154520000000005,0.14664950000000002,500,2009
2009-02-27,0.11283169670081342,0.26594450000000003,0.11933125000000001,500,2009
2009-03-31,0.11084847891501051,0.24401640000000005,0.12454899999999999,500,2009
2009-04-30,0.19526887542835705,0.3937406,0.1957325,500,2009
2009-05-29,0.12300859236854877,0.2790209,0.13621750000000002,500,2009
2009-06-30,0.08501608089136978,0.190302,0.1024225,500,2009
2009-07-31,0.09600713693180074,0.21610400000000002,0.10741900000000001,500,2009
2009-08-31,0.1377579926252567,0.17132920000000015,0.07733149999999998,500,2009
2009-09-30,0.08680548968042602,0.19642539999999997,0.0945865,499,2009
2009-10-30,0.07010001677058922,0.16672170000000003,0.07681000000000002,500,2009
2009-11-30,0.07751514911387933,0.1669068,0.078029,498,2009
2009-12-31,0.07412329103742071,0.15252000000000004,0.077134,497,2009
2010-01-29,0.07261907201161977,0.16635030000000003,0.07684350000000001,500,2010
2010-02-26,0.07076164197527528,0.1521539,0.0673375,500,2010
2010-03-31,0.0668174699176532,0.15166430000000006,0.07551875,500,2010
2010-04-30,0.08170626495203846,0.18467450000000007,0.08159975,500,2010
2010-05-28,0.06568219718609322,0.137046,0.06663050000000001,500,2010
2010-06-30,0.06575024045665748,0.15254680000000004,0.08395325000000001,500,2010
2010-07-30,0.07833903778627795,0.19179439999999998,0.08318750000000001,499,2010
2010-08-31,0.06946837928357798,0.1539577,0.08306424999999999,500,2010
2010-09-30,0.0679579359698567,0.16777510000000007,0.09020725,500,2010
2010-10-29,0.06569684546724917,0.14334880000000005,0.06965325,500,2010
2010-11-30,0.06866330125968875,0.1697322,0.077238,499,2010
2010-12-31,0.06755010321223462,0.15244000000000002,0.08168349999999999,500,2010
2011-01-31,0.07063754445758604,0.16301759999999998,0.081248,499,2011
2011-02-28,0.06806911513474193,0.1521488,0.07596847777700004,500,2011
2011-03-31,0.0646530250956726,0.1347138,0.05987400000000001,499,2011
2011-04-29,0.06512387213145325,0.1383627,0.06446,500,2011
2011-05-31,0.05882527772425588,0.1329981,0.06635625,500,2011
2011-06-30,0.051713538417847434,0.1053267,0.0569885,500,2011
2011-07-29,0.07277306923110927,0.1650968,0.077309,499,2011
2011-08-31,0.0841700414747329,0.19618270000000002,0.10814125000000001,500,2011
2011-09-30,0.08956471872047847,0.21340299999999998,0.10916050000000002,499,2011
2011-10-31,0.09845943695421881,0.2447961,0.128328,500,2011
2011-11-30,0.07274438172385768,0.1453084,0.0706985,498,2011
2011-12-30,0.06210541503221879,0.1426503,0.074788,500,2011
2012-01-31,0.09603281331394635,0.2077024,0.11245699999999999,500,2012
2012-02-29,0.0759934486085946,0.15355600000000003,0.07810774999999999,500,2012
2012-03-30,0.05480912876381627,0.12611950000000005,0.0584585,500,2012
2012-04-30,0.06272522608089104,0.1359038,0.07033625,500,2012
2012-05-31,0.07772252823353408,0.1758045,0.09068575,498,2012
2012-06-29,0.06247193163333885,0.152661,0.072871,499,2012
2012-07-31,0.06896284617924238,0.1572732,0.07183675,500,2012
2012-08-31,0.06604583631918473,0.14803200000000002,0.06993925000000001,500,2012
2012-09-28,0.04739743359578298,0.11346440000000006,0.056023500000000004,500,2012
2012-10-31,0.06915271649771462,0.1610702,0.07235849999999999,498,2012
2012-11-30,0.06662579254125413,0.14625450000000004,0.068751,500,2012
