date,xs_std,p90_p10,iqr,n,year
2004-11-30,0.07539046088916,0.1413034999999999,0.0685082499999999,498.0,2004
2004-12-31,0.0615589781832323,0.1403842,0.06182025,498.0,2004
2005-01-31,0.0642324619020063,0.1558002,0.0742585,500.0,2005
2005-02-28,0.0713145503416531,0.1628069999999999,0.0800174999999999,499.0,2005
2005-03-31,0.0645773013767437,0.1333072,0.0657515,499.0,2005
2005-04-29,0.0667897464545532,0.1537029,0.084791,500.0,2005
2005-05-31,0.0662704416098179,0.1503349,0.07485225,500.0,2005
2005-06-30,0.062454378583683,0.1392047,0.0724047499999999,500.0,2005
2005-07-29,0.0687381380589769,0.1558684,0.06633775,500.0,2005
2005-08-31,0.0620709647614576,0.1324388,0.068812,499.0,2005
2005-09-30,0.0700111089843283,0.1622992,0.0817365,499.0,2005
2005-10-31,0.0683527757436497,0.1711677,0.08482,498.0,2005
2005-11-30,0.0684465740683145,0.1542493,0.0804315,500.0,2005
2005-12-30,0.0485438737839243,0.1149599,0.05844375,500.0,2005
2006-01-31,0.0872724864096147,0.1983313,0.0958007499999999,498.0,2006
2006-02-28,0.0705734875763256,0.1545422,0.0659397499999999,500.0,2006
2006-03-31,0.060943843641029,0.1376841,0.0700375,498.0,2006
2006-04-28,0.069297056015905,0.1624988,0.07726,499.0,2006
2006-05-31,0.062781857682385,0.1501252,0.06879,497.0,2006
2006-06-30,0.0589776520125797,0.1372182,0.06892525,500.0,2006
2006-07-31,0.0742342229331247,0.1921318,0.094802,499.0,2006
2006-08-31,0.0689563822669089,0.1545833,0.07050175,498.0,2006
2006-09-29,0.0626041725968258,0.1438431,0.06659925,500.0,2006
2006-10-31,0.0671529021126183,0.1432091999999999,0.0706825,499.0,2006
2006-11-30,0.0643938630059248,0.1363052,0.0723679999999999,498.0,2006
2006-12-29,0.0523369379004175,0.1278441,0.06197175,500.0,2006
2007-01-31,0.0628739073628694,0.1424278,0.0750845,499.0,2007
2007-02-28,0.0579280431967377,0.1403252,0.060175,500.0,2007
2007-03-30,0.0556392664683224,0.127946,0.0577615,499.0,2007
2007-04-30,0.0678837365238924,0.1306946,0.06966,499.0,2007
2007-05-31,0.0591827060767455,0.1395151,0.06596925,500.0,2007
2007-06-29,0.0556612193963246,0.1243723,0.0583955,500.0,2007
2007-07-31,0.0792694474294471,0.1588074,0.0813075,499.0,2007
2007-08-31,0.0605506175748752,0.1349881,0.0718855,498.0,2007
2007-09-28,0.0681188596712832,0.157467,0.0800695,500.0,2007
2007-10-31,0.097495627030412,0.2191658,0.10292475,500.0,2007
2007-11-30,0.0769550903794307,0.1692571999999999,0.08095275,500.0,2007
2007-12-31,0.084165785407231,0.1843757,0.08052975,500.0,2007
2008-01-31,0.0935865457627686,0.2294482,0.1119344999999999,500.0,2008
2008-02-29,0.0951949862538051,0.2355537999999999,0.1096274999999999,499.0,2008
2008-03-31,0.0785771422226914,0.173064,0.0820829999999999,497.0,2008
2008-04-30,0.0990671738281579,0.2221613,0.11029425,500.0,2008
2008-05-30,0.0914497909988053,0.1899439999999999,0.1006055,499.0,2008
2008-06-30,0.1122552927160064,0.2557694,0.12464925,498.0,2008
