permno,ret,ticker,name
19788,3.40477429084474,PLTR,PALANTIR TECHNOLOGIES INC
86580,1.7124915068873996,NVDA,NVIDIA CORP
17782,1.3808167940203973,SPOT,SPOTIFY TECHNOLOGY S A
17987,1.3681934133548395,VRT,VERTIV HOLDINGS CO
89031,1.3006273437092344,AXON,AXON ENTERPRISE INC
93002,1.1043269095723849,AVGO,BROADCOM INC
12476,1.1007468532563527,TRGP,TARGA RESOURCES CORP
24643,1.0269834451288666,HWM,HOWMET AEROSPACE INC
22623,0.9273086767060776,CEG,CONSTELLATION ENERGY CORP
14714,0.8772889783992077,ANET,ARISTA NETWORKS INC
88360,0.8377808318956881,MRVL,MARVELL TECHNOLOGY INC
89393,0.8306784398908049,NFLX,NETFLIX INC
79686,0.8229855431900341,DECK,DECKERS OUTDOOR CORP
12591,0.7988502252619369,APO,APOLLO GLOBAL MANAGEMENT INC NEW
11990,0.7964454761196571,KKR,K K R & CO INC
79145,0.7898403401468632,RCL,ROYAL CARIBBEAN CRUISES LTD
14776,0.7400325850286611,SYF,SYNCHRONY FINANCIAL
55976,0.7397952678485102,WMT,WALMART INC
11533,0.7104096537519866,FICO,FAIR ISAAC CORP
20189,0.6963279882056996,DASH,DOORDASH INC
13407,0.6604645499098873,META,META PLATFORMS INC
12060,0.6530144882622801,GE,GENERAL ELECTRIC CO
12558,0.6440656162562304,KMI,KINDER MORGAN INC
16309,0.6332694560795407,TTD,TRADE DESK INC
88837,0.6328527721099373,GRMN,GARMIN LTD
93436,0.6252441660628392,TSLA,TESLA INC
38156,0.6236038452096841,WMB,WILLIAMS COS
93132,0.6142138934310388,FTNT,FORTINET INC
22293,0.6062659966550121,GLW,CORNING INC
59176,0.6031693486504213,AXP,AMERICAN EXPRESS CO
10104,0.5999083842749089,ORCL,ORACLE CORP
92121,0.573446183598143,DFS,DISCOVER FINANCIAL SERVICES
24010,0.5593025507330536,ETR,ENTERGY CORP NEW
88352,0.5471906698456441,ISRG,INTUITIVE SURGICAL INC
10696,0.546368186262868,FI,FISERV INC
77605,0.5450603685891324,BSX,BOSTON SCIENTIFIC CORP
83143,0.5447522950993635,IRM,IRON MOUNTAIN INC NEW
18267,0.5301084769244833,DELL,DELL TECHNOLOGIES INC
12431,0.5297105188810434,TT,TRANE TECHNOLOGIES PLC
14617,0.5269054389833361,ARES,ARES MANAGEMENT CORP
86868,0.520251514201806,GS,GOLDMAN SACHS GROUP INC
91926,0.5200623611519468,DAL,DELTA AIR LINES INC
49656,0.5187514213656506,BK,BANK OF NEW YORK MELLON CORP
64390,0.5138950203270563,PGR,PROGRESSIVE CORP OH
25232,0.5017297806043055,OKE,ONEOK INC NEW
81677,0.50137050517966,WAB,WABTEC CORP
13447,0.50054563054833,NOW,SERVICENOW INC
12369,0.4984173391288862,GM,GENERAL MOTORS CO
26825,0.49760687029097306,K,KELLANOVA
10777,0.494593525673761,FCNCA,FIRST CITIZENS BANCSHARES INC NC
22779,0.4911824461932257,MSI,MOTOROLA SOLUTIONS INC
41080,0.48897861321007596,CMI,CUMMINS INC
85792,0.46603204844488677,PWR,QUANTA SERVICES INC
38703,0.4647996197766626,WFC,WELLS FARGO & CO NEW
78223,0.46017550321209,AEM,AGNICO EAGLE MINES LTD
87212,0.45110410198942685,MFC,MANULIFE FINANCIAL CORP
86356,0.4476468058279812,EBAY,EBAY INC
22592,0.4460036693080487,MMM,3M CO
84788,0.4439292549680771,AMZN,AMAZON COM INC
63467,0.4431628700397354,BRO,BROWN & BROWN INC
47896,0.4426928253868989,JPM,JPMORGAN CHASE & CO
85259,0.44177345323326134,BN,BROOKFIELD CORP
12400,0.4412534000488457,LPLA,L P L FINANCIAL HOLDINGS INC
66093,0.4411986913153527,T,A T & T INC
65947,0.43066472100177555,WELL,WELLTOWER INC
20892,0.42767106522244,COIN,COINBASE GLOBAL INC
23712,0.4261959334412351,PEG,PUBLIC SERVICE ENTERPRISE GP INC
23473,0.42486934043654334,CINF,CINCINNATI FINANCIAL CORP
90880,0.4209964210389414,AMP,AMERIPRISE FINANCIAL INC
70519,0.4198692981616887,C,CITIGROUP INC
35554,0.4169887672096382,MTB,M & T BANK CORP
86783,0.41302730548991273,BKNG,BOOKING HOLDINGS INC
84769,0.4129753147246267,APH,AMPHENOL CORP NEW
90199,0.4103566611524394,CBRE,C B R E GROUP INC
13901,0.40863642695797586,MO,ALTRIA GROUP INC
69649,0.4082160450856396,RJF,RAYMOND JAMES FINANCIAL INC
17830,0.4076391960733401,RTX,R T X CORP
79323,0.4060367634026396,ALL,ALLSTATE CORP
67774,0.4043971181580639,TRP,T C ENERGY CORP
45356,0.39788660328075953,JCI,JOHNSON CONTROLS INTL PLC
69032,0.39718866300480116,MS,MORGAN STANLEY DEAN WITTER & CO
23569,0.39693676028868263,BAM,BROOKFIELD ASSET MANAGEMENT LTD
91937,0.39685058475941215,TMUS,T MOBILE U S INC
87055,0.396180952497343,COST,COSTCO WHOLESALE CORP NEW
41355,0.3956713497153148,PH,PARKER HANNIFIN CORP
11762,0.395224512173707,ETN,EATON CORP PLC
12490,0.39273256484486674,IBM,INTERNATIONAL BUSINESS MACHS COR
15488,0.3898406042685272,PYPL,PAYPAL HOLDINGS INC
82775,0.3856120730618482,HIG,HARTFORD FINANCIAL SVCS GRP INC
91041,0.38354827655646395,LYV,LIVE NATION ENTERTAINMENT INC
81055,0.3825128740632566,COF,CAPITAL ONE FINANCIAL CORP
76185,0.37912468000797994,TYL,TYLER TECHNOLOGIES INC
85636,0.3785915091637859,CM,CANADIAN IMPERIAL BANK COMMERCE
87034,0.37270101625273444,LII,LENNOX INTERNATIONAL INC
89003,0.36961582235555723,FIS,FIDELITY NATIONAL INFO SVCS INC
16678,0.3690290345916325,KR,KROGER CO
15358,0.3649562100642165,SHOP,SHOPIFY INC
14338,0.3611086490158031,HLT,HILTON WORLDWIDE HOLDINGS INC
90319,0.36006479898239996,GOOGL,ALPHABET INC
24294,0.3590636879141085,CRH,C R H PLC NEW
90373,0.3589123656229456,DLR,DIGITAL REALTY TRUST INC
20682,0.3576260487658618,CPNG,COUPANG INC
14542,0.35617629042326016,GOOG,ALPHABET INC
92108,0.35049996553636253,BX,BLACKSTONE INC
90601,0.34848061681892606,NDAQ,NASDAQ INC
92602,0.34327876984039807,PM,PHILIP MORRIS INTERNATIONAL INC
81736,0.34183474859604623,RMD,RESMED INC
82598,0.34165380086400776,NTAP,NETAPP INC
18726,0.3401192691855026,CRWD,CROWDSTRIKE HOLDINGS INC
59408,0.3385948490079267,BAC,BANK OF AMERICA CORP
42906,0.33731544711089745,HBAN,HUNTINGTON BANCSHARES INC
50876,0.33300491513091646,LLY,LILLY ELI & CO
91152,0.32206600929377016,TDG,TRANSDIGM GROUP INC
91068,0.31834510748082523,CMG,CHIPOTLE MEXICAN GRILL INC
89017,0.3147775304613629,WTW,WILLIS TOWERS WATSON PUB LTD CO
82276,0.30754712376179794,ACGL,ARCH CAPITAL GROUP LTD NEW
14593,0.307050377321314,AAPL,APPLE INC
40539,0.30557463832526643,TJX,T J X COMPANIES INC NEW
72726,0.3017228863508714,STT,STATE STREET CORP
22103,0.29749809429872975,EMR,EMERSON ELECTRIC CO
89199,0.2943202151162285,DB,DEUTSCHE BANK A G
60442,0.29415522347098144,PNC,P N C FINANCIAL SERVICES GRP INC
52329,0.2935166403997891,J,JACOBS SOLUTIONS INC
18909,0.2932986470241261,NET,CLOUDFLARE INC
87267,0.29265535761913064,BLK,BLACKROCK INC NEW
15707,0.2907321450778606,HPE,HEWLETT PACKARD ENTERPRISE CO
32942,0.2892889729523729,HUBB,HUBBELL INC
59459,0.28765553975446134,TRV,TRAVELERS COMPANIES INC
44644,0.2840491644845855,ADP,AUTOMATIC DATA PROCESSING INC
52695,0.2820512056646265,GWW,GRAINGER W W INC
57904,0.28078264648367846,AFL,AFLAC INC
90215,0.2777582420915905,CRM,SALESFORCE INC
87842,0.27633382463808176,MET,METLIFE INC
24985,0.2750161971875904,AEE,AMEREN CORP
38093,0.2734856529314511,AJG,GALLAGHER ARTHUR J & CO
17743,0.27184779658863834,WRB,BERKLEY W R CORP
84723,0.27167908940889873,LNG,CHENIERE ENERGY INC
34746,0.27123048787406545,FITB,FIFTH THIRD BANCORP
83443,0.2709009857036029,BRK,BERKSHIRE HATHAWAY INC DEL
35044,0.27023644451089823,RF,REGIONS FINANCIAL CORP NEW
80100,0.26930499878455616,SPG,SIMON PROPERTY GROUP INC NEW
20648,0.2655288845993784,RBLX,ROBLOX CORP
76932,0.26407289843644777,ENB,ENBRIDGE INC
15735,0.2632787863015329,RACE,FERRARI N V NEW
58246,0.2564158912270358,NTRS,NORTHERN TRUST CORP
17778,0.25486307323262536,BRK,BERKSHIRE HATHAWAY INC DEL
80286,0.25401905756384413,TSCO,TRACTOR SUPPLY CO NEW
85913,0.24925792821451287,MAR,MARRIOTT INTERNATIONAL INC NEW
79103,0.24810470485540637,ORLY,O REILLY AUTOMOTIVE INC NEW
18542,0.2465162393748792,CAT,CATERPILLAR INC
61735,0.24449640745411672,AON,AON PLC NEW
26403,0.24447077112483084,DIS,DISNEY WALT CO
22503,0.24369938086736775,NU,NU HOLDINGS LTD
24174,0.24291068849576458,VLTO,VERALTO CORP
91233,0.2417134965627492,MA,MASTERCARD INC
85663,0.23982545994737325,URI,UNITED RENTALS INC
22517,0.23970992295605642,PPL,P P L CORP
79057,0.23889700641715916,CB,CHUBB LTD
76605,0.2383910486093288,AZO,AUTOZONE INC
82654,0.23822223410671706,RY,ROYAL BANK CANADA MONTREAL QUE
71563,0.2372127631925276,TFC,TRUIST FINANCIAL CORP
81061,0.23672882308057908,MCK,MCKESSON H B O C INC
13511,0.23412776834400817,PANW,PALO ALTO NETWORKS INC
32986,0.23351031803704636,ATO,ATMOS ENERGY CORP
25953,0.23334005081146247,DOV,DOVER CORP
75034,0.23081555217978145,BKR,BAKER HUGHES CO
