ticker,company,sector,avg_wt,mo_held,stock_ret_2024,contrib_2024
NVDA,NVIDIA CORP,Information Technology,0.10171377635403438,12,0.9520504740578852,0.07880461736667312
AVGO,BROADCOM INC,Information Technology,0.06525324488902891,12,0.8993764708047096,0.04421293244825696
META,META PLATFORMS INC,Communication Services,0.0900140548367582,8,0.47150685065441,0.039514751328849934
AMZN,AMAZON COM INC,Consumer Discretionary,0.08980918745443286,10,0.31766588161110576,0.026835194357111052
WMT,WALMART INC,Consumer Staples,0.03801139138601053,12,0.8027667373450948,0.023409116744673587
JPM,JPMORGAN CHASE & CO,Financials,0.04788036165863176,6,0.4720640121252011,0.01941579641924259
GOOG,ALPHABET INC,Communication Services,0.0514736138218196,10,0.35483100540269685,0.017835357883792792
GE,GENERAL ELECTRIC CO,Industrials,0.022647512241373152,12,0.9442366705428296,0.016280658528543338
LLY,LILLY ELI & CO,Health Care,0.06473154437424368,12,0.2642298593364425,0.014902692110836785
COST,COSTCO WHOLESALE CORP NEW,Consumer Staples,0.02850133613753774,10,0.3431195736828385,0.008608155123035772
