permno,ticker,company,avg_wt,pct_months
86580,NVDA,NVIDIA CORP,0.10171377635403438,1.0
84788,AMZN,AMAZON COM INC,0.07484098954536071,0.8333333333333334
93002,AVGO,BROADCOM INC,0.06525324488902891,1.0
50876,LLY,LILLY ELI & CO,0.06473154437424368,1.0
13407,META,META PLATFORMS INC,0.060009369891172136,0.6666666666666666
10107,MSFT,MICROSOFT CORP,0.04322858652755227,0.5
14542,GOOG,ALPHABET INC,0.04289467818484966,0.8333333333333334
55976,WMT,WALMART INC,0.038011391386010514,1.0
47896,JPM,JPMORGAN CHASE & CO,0.02394018082931588,0.5
87055,COST,COSTCO WHOLESALE CORP NEW,0.023751113447948117,0.8333333333333334
90319,GOOGL,ALPHABET INC,0.02272990912560838,0.5
12060,GE,GENERAL ELECTRIC CO,0.022647512241373152,1.0
83443,BRK,BERKSHIRE HATHAWAY INC DEL,0.013764013702110512,0.5
89393,NFLX,NETFLIX INC,0.01368376355118045,0.6666666666666666
17778,BRK,BERKSHIRE HATHAWAY INC DEL,0.012903741586985868,0.6666666666666666
