permno,ticker,comnam,namedt,nameenddt
85032,Q,QWEST COMMUNICATIONS INTL INC,2000-01-03,2011-03-31
10324,GENZ,GENZYME CORP,1986-06-05,2011-04-08
12074,PDE,PRIDE INTERNATIONAL INC DEL,2001-12-03,2011-05-31
26382,MEE,MASSEY ENERGY CO,2006-06-30,2011-06-01
75383,BEC,BECKMAN COULTER INC,2006-06-30,2011-06-29
90277,BUCY,BUCYRUS INTERNATIONAL INC NEW,2008-05-07,2011-07-08
87054,HK,PETROHAWK ENERGY CORP,2007-03-13,2011-08-25
43721,LZ,LUBRIZOL CORP,2011-06-16,2011-09-16
51377,NSM,NATIONAL SEMICONDUCTOR CORP,2001-08-24,2011-09-23
91275,LCAPA,LIBERTY MEDIA CORP NEW,2006-05-10,2011-09-23
90044,KCI,KINETIC CONCEPTS INC,2010-02-25,2011-11-04
91971,VRUS,PHARMASSET INC,2007-04-27,2012-01-17
24221,CEG,CONSTELLATION ENERGY GROUP INC,2011-06-10,2012-03-12
76091,SUG,SOUTHERN UNION CO NEW,2011-06-13,2012-03-26
87146,NST,NSTAR,1999-09-27,2012-04-09
12456,MMI,MOTOROLA MOBILITY HOLDINGS INC,2011-01-04,2012-05-21
77481,EP,EL PASO CORP,2011-06-10,2012-05-24
23114,PGN,PROGRESS ENERGY INC,2000-12-11,2012-07-02
87492,CHSI,CATALYST HEALTH SOLUTIONS INC,2008-10-01,2012-07-02
12140,GR,GOODRICH CORP,2005-08-10,2012-07-26
77264,AMLN,AMYLIN PHARMACEUTICALS INC,1992-01-17,2012-08-08
87013,ARBA,ARIBA INC,2004-07-01,2012-09-28
14656,SUN,SUNOCO INC,1998-11-09,2012-10-04
84584,RAH,RALCORP HOLDINGS INC NEW,2006-06-30,2013-01-29
91493,APKT,ACME PACKET INC,2006-10-13,2013-03-28
76619,CVH,COVENTRY HEALTH CARE INC,2001-05-16,2013-05-06
89636,PXP,PLAINS EXPLORATION & PROD CO,2004-03-29,2013-05-30
89644,VMED,VIRGIN MEDIA INC,2007-02-08,2013-06-07
23077,HNZ,HEINZ H J CO,2001-03-01,2013-06-07
39087,S,SPRINT NEXTEL CORP,2005-08-15,2013-07-10
11976,BMC,B M C SOFTWARE INC,2009-10-26,2013-09-10
83541,ONXX,ONYX PHARMACEUTICALS INC,1996-05-09,2013-09-30
11081,DELL,DELL INC,2003-07-22,2013-10-29
91143,NYX,N Y S E EURONEXT,2007-04-04,2013-11-12
86725,LIFE,LIFE TECHNOLOGIES CORP,2008-11-24,2014-02-03
10225,BEAM,BEAM INC,2014-01-08,2014-04-30
48267,LSI,L S I CORP NEW,2012-12-19,2014-05-06
45241,FRX,FOREST LABS INC,1999-10-08,2014-06-30
22840,HSH,HILLSHIRE BRANDS CO,2012-06-29,2014-08-28
88335,DNDN,DENDREON CORP,2000-06-16,2014-11-18
88989,KMR,KINDER MORGAN MANAGEMENT LLC,2006-06-30,2014-11-26
86525,CNQR,CONCUR TECHNOLOGIES INC,1998-12-16,2014-12-04
87092,TIBX,T I B C O SOFTWARE INC,1999-07-14,2014-12-05
13430,BKW,BURGER KING WORLDWIDE INC,2012-06-20,2014-12-12
76149,SWY,SAFEWAY INC,1990-04-26,2015-01-29
79411,PETM,PETSMART INC,1993-07-23,2015-03-11
92988,CFN,CAREFUSION CORP,2009-09-01,2015-03-16
75646,AGN,ALLERGAN INC,1989-07-27,2015-03-16
88811,SLXP,SALIX PHARMACEUTICALS LTD,2002-01-02,2015-03-31
91485,RVBD,RIVERBED TECHNOLOGY INC,2006-09-21,2015-04-24
90052,TRW,T R W AUTOMOTIVE HOLDINGS CORP,2004-02-03,2015-05-14
82513,PCYC,PHARMACYCLICS INC,1995-10-24,2015-05-22
17279,LO,LORILLARD INC,2008-06-10,2015-06-11
80361,RKT,ROCK TENN CO,2012-10-11,2015-07-01
13598,KRFT,KRAFT FOODS GROUP INC,2012-10-02,2015-07-02
53866,FDO,FAMILY DOLLAR STORES INC,1979-08-14,2015-07-06
82540,WLT,WALTER ENERGY INC,2014-01-10,2015-07-07
90547,ANR,ALPHA NATURAL RESOURCES INC,2005-02-15,2015-07-15
89954,DTV,DIRECTV,2012-08-28,2015-07-24
86830,INFA,INFORMATICA CORP,1999-04-29,2015-08-06
63714,OCR,OMNICARE INC,2011-06-13,2015-08-17
35051,PLL,PALL CORP,1992-10-05,2015-08-28
90110,HSP,HOSPIRA INC,2005-08-10,2015-09-02
78033,HCC,H C C INSURANCE HOLDINGS INC,2001-08-24,2015-10-27
70536,SIAL,SIGMA ALDRICH CORP,2000-08-01,2015-11-17
