combo,n_features,fold,hmm_seed,n_xgb_seeds,fee,val_sharpe,n_val_months,hmm_elapsed_sec,xgb_elapsed_sec
DD,1,1,0,5,0.001,0.683948393065363,24,30.525973081588745,35.86055397987366
DD,1,1,2,5,0.001,0.34765592608451845,24,30.22030282020569,36.45638608932495
DD,1,1,1,5,0.001,-0.11727493477209955,24,30.391626119613647,36.48345184326172
DD,1,2,0,5,0.001,0.36427739508158524,24,41.81973910331726,50.729480028152466
DD,1,2,2,5,0.001,0.4939492028229034,24,42.062849044799805,52.35660791397095
DD,1,2,1,5,0.001,0.32908018502127534,24,42.22964406013489,52.4609100818634
DD,1,3,0,5,0.001,-0.3970801427115559,24,48.29827690124512,56.868985176086426
DD,1,3,1,5,0.001,-0.4824471474323058,24,47.89945077896118,57.67729425430298
DD,1,3,2,5,0.001,-0.48665204226299125,24,48.11558723449707,58.64389109611511
DD,1,4,0,5,0.001,0.3779527446144485,24,60.49088525772095,77.0264048576355
DD,1,4,2,5,0.001,0.3086549773815962,24,60.886842012405396,77.22770595550537
DD,1,4,1,5,0.001,0.3548459133535577,24,60.921091079711914,77.59205913543701
DD+VOL,2,1,0,5,0.001,0.9287331283138679,24,35.27504301071167,44.16344404220581
DD+VOL,2,1,2,5,0.001,0.6417670750826862,24,34.84210705757141,45.65882873535156
DD+VOL,2,1,1,5,0.001,1.341458031451951,24,34.76193380355835,46.04218506813049
DD,1,5,0,5,0.001,0.5623001273803436,24,70.32381701469421,83.71076798439026
DD,1,5,1,5,0.001,0.3255143682909152,24,69.65854811668396,86.17185592651367
DD,1,5,2,5,0.001,-0.0005501349320290323,24,70.09665822982788,86.28452587127686
DD+VOL,2,2,0,5,0.001,0.11918999337936,24,38.229711055755615,44.944941997528076
DD+VOL,2,2,2,5,0.001,0.4663709327710651,24,38.85137486457825,46.388099908828735
DD+VOL,2,2,1,5,0.001,0.19007982272514692,24,38.871195793151855,46.57757902145386
DD+VOL,2,3,0,5,0.001,-0.5340653094649057,24,48.999809980392456,57.404088258743286
DD+VOL,2,3,1,5,0.001,-0.5015962625630308,24,49.20402693748474,63.391273975372314
DD+VOL,2,3,2,5,0.001,-0.5763416039302428,24,49.51434803009033,65.72382593154907
DD+VOL,2,4,0,5,0.001,0.45676943140967974,24,57.63658809661865,66.31646394729614
DD+VOL,2,4,2,5,0.001,0.5579365207326779,24,58.58949398994446,70.42444491386414
DD+VOL,2,4,1,5,0.001,0.9717272262702259,24,58.06694507598877,71.27152895927429
DD+VOL,2,5,0,5,0.001,-0.6765936970345683,24,67.5996789932251,82.18078994750977
DD+VOL,2,5,1,5,0.001,0.18230444143613758,24,66.48356771469116,83.75322008132935
DD+CS,2,1,0,5,0.001,0.05546831283402649,24,31.98505210876465,40.44218873977661
DD+VOL,2,5,2,5,0.001,-0.29777265081206544,24,66.67291808128357,82.42623615264893
DD+CS,2,1,1,5,0.001,0.20613169011008645,24,31.294886827468872,43.81449913978577
DD+CS,2,1,2,5,0.001,-0.27376037397074066,24,31.243903875350952,43.94662404060364
DD+CS,2,2,0,5,0.001,1.156586383091078,24,39.38877320289612,45.39244103431702
DD+CS,2,2,2,5,0.001,0.09348766572617252,24,38.49415898323059,45.065776109695435
DD+CS,2,2,1,5,0.001,0.2045365811356748,24,39.146546840667725,47.430830001831055
DD+CS,2,3,0,5,0.001,-0.521786916360503,24,48.40397906303406,58.25925397872925
DD+CS,2,3,2,5,0.001,-0.2968118647588396,24,48.19854211807251,60.2647008895874
DD+CS,2,3,1,5,0.001,-0.1913502120000723,24,48.5373911857605,60.586284160614014
DD+CS,2,4,0,5,0.001,0.44002775624504215,24,55.93508291244507,65.35954523086548
DD+CS,2,4,1,5,0.001,1.3125687650570215,24,55.23678469657898,66.17728614807129
DD+CS,2,4,2,5,0.001,0.940445393269779,24,54.8417751789093,67.39785766601562
DD+CS,2,5,0,5,0.001,0.20510856412998243,24,65.78000521659851,81.13734984397888
DD+LVIX,2,1,0,5,0.001,0.9753460690737243,24,29.22714400291443,37.25070786476135
DD+LVIX,2,1,1,5,0.001,0.37348358397767784,24,28.498117923736572,37.90739893913269
DD+CS,2,5,1,5,0.001,0.8892164762488632,24,66.38091492652893,83.16657876968384
DD+CS,2,5,2,5,0.001,0.3635863472666504,24,66.68254017829895,83.01129007339478
DD+LVIX,2,1,2,5,0.001,0.7589003098584705,24,28.401349782943726,37.91619920730591
DD+LVIX,2,2,0,5,0.001,0.41826702535958304,24,37.865846157073975,44.366868019104004
