name,combo,sharpe,ann_ret,ann_vol,mdd,seed_mean,seed_std,stab_mean,stab_std,stab_min,stab_max,stability
DD+DISP+REL_N+TERM,"['DD_z', 'DISP_z', 'REL_N_z', 'TERM_z']",0.618144656255541,0.11587104579894936,0.21317059996616183,-0.3026043847114223,0.5748721292535202,0.09776285911452229,0.4495181886932332,0.18087680132373346,0.282826065035216,0.763676203659641,UNSTABLE
DD+ADR+TERM,"['DD_z', 'ADR_z', 'TERM_z']",0.5713646444525637,0.10234546476821205,0.20738222930161668,-0.24157601773709655,0.6277495945419513,0.09072915340938578,0.6848056922920235,0.07176429207847224,0.5843940128416251,0.8021777753108597,STABLE
DD+DISP+REL_N+SKEW,"['DD_z', 'DISP_z', 'REL_N_z', 'SKEW_z']",0.8016897188158173,0.14922623797279888,0.19806089166516555,-0.26340344836345203,0.7349839071502171,0.09323435517025137,0.6863173309160416,0.08227515235928956,0.5651542158164073,0.8072405209105994,STABLE
DD+VOL+DISP+TERM,"['DD_z', 'VOL_z', 'DISP_z', 'TERM_z']",0.7137061708403845,0.12878083875381896,0.1967698351394609,-0.2883326442430167,0.6055876296572903,0.04494428300326117,0.6651282747576857,0.15919975478545473,0.45549599029383325,0.9304112557199774,UNSTABLE
DD+VOL+CS,"['DD_z', 'VOL_z', 'CS_z']",0.692204094275422,0.1259745618580137,0.20015289509785147,-0.3612729431144452,0.6724126380512339,0.07746688228118571,0.4296095050591676,0.13114526205594348,0.19038604002548903,0.5684894991679178,MODERATE
DD+DISP+CS+TERM,"['DD_z', 'DISP_z', 'CS_z', 'TERM_z']",0.8221218108917957,0.1570910621280941,0.2028703744578185,-0.2782888274053822,0.7824082550081017,0.07519210390870888,0.5500013952707283,0.14797111554070394,0.37627578042001214,0.732913487707241,MODERATE
DD+DISP+REL_N+CS,"['DD_z', 'DISP_z', 'REL_N_z', 'CS_z']",0.9073388231888814,0.1767562814261583,0.20191125620701672,-0.2530092824608929,0.9316447358974271,0.056113612468432474,0.8431781544299979,0.11240255981420429,0.7226254238608745,1.0533666356397078,MODERATE
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",0.7703799847149945,0.1381879308166103,0.19205130490555272,-0.27528117309403943,0.7175058809144695,0.058861583897550876,0.7720635646896374,0.103474068099338,0.5764937789826985,0.8591735116461534,MODERATE
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",0.7997755790314832,0.16091858487639987,0.21591359475425437,-0.3338380904775182,0.8157015337404051,0.0730931232074068,0.7732609271359412,0.08856778540019838,0.6872103592208822,0.924123161667795,STABLE
DD,['DD_z'],0.6823387314796981,0.11391711845827102,0.18217460850532788,-0.23672121471343746,0.6495999699135669,0.08645084179651313,0.6740239207096541,0.13767572473722023,0.5223787643449105,0.9257174583063003,MODERATE
