name,combo,n_feat,has_nfci,passed,min_ess,n_sig,ll,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD,['DD_z'],1,False,True,1069.0007500959157,1,-226.772119335119,0.9044619528369888,0.8648910468161433,0.9921581193984403,0.09359299432836242,0.14440969532214185
DD+VOL,"['DD_z', 'VOL_z']",2,False,True,529.269255886558,2,-519.1169868256836,0.8946650390864959,0.860695339878907,0.9812295235527054,0.09461855259069822,0.12593743179552933
DD+DISP,"['DD_z', 'DISP_z']",2,False,True,1015.4373649211213,2,-562.928162118613,0.9223642057761164,0.8691728612430774,0.9987941596719265,0.09310417732221943,0.16048997760495445
DD+REL_N,"['DD_z', 'REL_N_z']",2,False,True,722.9603693210963,2,-507.18374435874665,0.8964936263345635,0.8583768562604124,0.9515867158053959,0.10142258819668197,0.09767893272330316
DD+CS,"['DD_z', 'CS_z']",2,False,True,333.8501604224446,2,-418.97099963994106,0.8217374343354064,0.8656234693863869,0.860460002033403,0.09177066679547059,0.14982991227035733
DD+LVIX,"['DD_z', 'LVIX_z']",2,False,False,5.197524427814613,2,-534.4933996332478,0.9793960223665623,0.9215139533881004,0.8794807826548863,0.13059997711828542,0.09287512537290363
DD+ADR,"['DD_z', 'ADR_z']",2,False,True,1231.991816254457,2,-524.8827385113635,0.898546572904108,0.8717233536463029,0.9876543217339654,0.09409815129214072,0.19322367194100057
DD+SKEW,"['DD_z', 'SKEW_z']",2,False,True,1177.3274668051936,2,-549.6868764672734,0.9301221604861978,0.8885981612310573,0.7471586675423035,0.0948173986203062,0.11317812425457074
DD+TERM,"['DD_z', 'TERM_z']",2,False,True,702.2000067110675,2,-573.865164398561,0.8995823218094773,0.8588373188442914,0.9728800557751227,0.08840519478997193,0.12922812985514995
DD+NFCI,"['DD_z', 'NFCI_z']",2,True,True,246.081413079087,2,-302.358237267287,0.9259888587417215,0.9526986595290061,0.9944692002236998,0.0890384766849019,0.12476891214487748
DD+VOL+DISP,"['DD_z', 'VOL_z', 'DISP_z']",3,False,True,856.0943953539846,3,-861.0786261798613,0.9759481776814722,0.8576285342571843,0.999740973592691,0.12487457043035594,0.12559009617761158
DD+VOL+REL_N,"['DD_z', 'VOL_z', 'REL_N_z']",3,False,True,516.532829488566,3,-740.4337554290954,0.8977259397567574,0.8666047676550948,0.9263872076212005,0.0997200103829361,0.07592471783671216
DD+VOL+CS,"['DD_z', 'VOL_z', 'CS_z']",3,False,True,564.3861458969914,3,-699.7566630646518,0.8542260090654821,0.8636284713665525,0.847386361166568,0.09792179291102365,0.14035804827644346
DD+VOL+LVIX,"['DD_z', 'VOL_z', 'LVIX_z']",3,False,False,14.964509408783211,3,-677.6350929538962,0.9177065263102833,0.8740280464145858,0.9821832538213057,0.09746809449208634,0.12457321116131524
DD+VOL+ADR,"['DD_z', 'VOL_z', 'ADR_z']",3,False,True,142.09665891337565,3,-833.0519004995103,0.8833447684025084,0.856295563893457,0.8315815832390743,0.10659918221461305,0.15497628587959575
DD+VOL+SKEW,"['DD_z', 'VOL_z', 'SKEW_z']",3,False,True,748.7574105239263,3,-848.8452703195037,0.9346445904324099,0.8874670794916415,0.741675738141822,0.09725190207098809,0.10645383350521424
DD+VOL+TERM,"['DD_z', 'VOL_z', 'TERM_z']",3,False,False,968.3757668063752,3,-878.3719300189539,0.25804836030680633,0.12841290412244677,0.4136432127174692,0.4555306423007013,0.3725224888097249
DD+VOL+NFCI,"['DD_z', 'VOL_z', 'NFCI_z']",3,True,True,130.96207000610048,3,-560.8934580738899,0.9069541400823214,0.9549272015626291,0.9070704449568616,0.0948242941313598,0.09460255081975658
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",3,False,True,602.5744246164369,3,-825.1175788543708,0.9898312646070064,0.8522121857993945,0.9994490340480815,0.1887477617322484,0.12340548356134454
DD+DISP+CS,"['DD_z', 'DISP_z', 'CS_z']",3,False,True,370.4280039567832,3,-755.9766884540005,0.8603755822688732,0.8586050959483827,0.9452780610689734,0.10043610451221276,0.14825150161977854
