predict_year,train_months,crisis_months_in_train,xgb_train_rows,xgb_test_rows,n_portfolio_months,mean_pi_predicted_year,ann_sharpe_year,elapsed_s
1995,49,4,227551,68341,12,0.6148882728254892,0.9544828846941832,2804.4826250076294
1996,61,4,295892,70630,12,0.10701464522274869,1.1692262694849234,3458.1937317848206
1997,73,4,366522,73925,12,0.009903534129875866,-0.1956942972037263,4101.532150030136
1998,85,4,440447,73396,12,0.314193151463217,-1.7500289584439375,4730.365422010422
1999,97,8,513843,71283,12,0.9852473894150099,1.4080839479409026,5386.592888832092
2000,109,8,585126,66427,12,0.994721439021594,0.062083449543466555,6125.709014177322
2001,121,18,651553,60719,12,1.0,-0.4408627865793388,6762.3034880161285
2002,133,30,712272,55867,12,0.8849999999999999,-0.22055083084111765,7517.407691955566
2003,145,40,768139,54290,12,0.9900360963697353,1.225019439364565,8055.138020038605
2004,157,40,822429,52989,12,0.4698078824843383,0.985653384537999,8604.443536043167
2005,169,40,875418,51226,12,0.010966759991271322,1.228561753778728,9282.203979969025
2006,181,40,926644,50952,12,0.1202340742672547,-0.751504273085223,9904.172611236572
2007,193,40,977596,49645,12,0.6391155701975124,1.2032451952708423,10643.15669798851
2008,205,43,1027241,46340,12,0.10000057103067805,-0.9807672063122307,11425.20669412613
2009,217,55,1073581,43939,12,0.28551529157549,1.169869817539215,3139.0164909362793
2010,229,61,1117520,43494,12,0.43414788817838895,1.1366518534947105,3171.9621381759644
2011,241,61,1161014,42075,12,0.4189809101586224,-0.18228916952030041,3335.419205188751
2012,253,61,1203089,40503,12,0.7096329566860985,1.5058578278440142,3524.35306596756
2013,265,61,1243592,39980,12,0.0007934529858107025,1.8300394617438096,3648.7537758350372
2014,277,61,1283572,39813,12,7.48274548472676e-05,0.32185826840652715,3812.2530369758606
2015,289,61,1323385,39749,12,0.40610326743940345,-0.10634172695897665,4066.3198511600494
2016,301,61,1363134,39321,12,0.41935610600424583,1.7955602875504766,4211.322458267212
2017,313,61,1402455,38890,12,0.0012614241558283118,1.025387398436359,4312.7245309352875
2018,325,61,1441345,38339,12,0.14237758955093863,0.4517823109383144,4462.810590982437
2019,337,61,1479684,37789,12,0.2895299668764409,0.4491179900581997,4616.338030099869
2020,349,61,1517473,38121,12,0.5641389914404753,1.4249733367952357,4785.045610904694
2021,361,64,1555594,40113,12,3.3275577925784535e-05,2.278718373352455,4935.884594917297
2022,373,64,1595707,42110,12,0.7493871718534019,0.9719810955099869,5089.900787115097
2023,385,64,1637817,42840,12,0.7669308055945154,1.5568709437194521,5308.186913013458
2024,397,64,1680657,37444,11,0.9870813058141398,-0.24664401472581576,5599.296998739243
