k,n_subsets,mean,median,std,p25,p75,min,max
1,30,1.0476,1.0390,0.0728,0.9982,1.0939,0.9052,1.1904
2,30,1.0396,1.0321,0.0659,0.9861,1.0973,0.9451,1.1649
3,30,1.0488,1.0420,0.0621,1.0061,1.0764,0.9218,1.1938
5,30,1.0454,1.0483,0.0611,1.0239,1.0793,0.9068,1.1485
10,30,1.0462,1.0490,0.0472,1.0112,1.0853,0.9676,1.1179
15,30,1.0613,1.0503,0.0372,1.0309,1.0929,0.9939,1.1453
20,30,1.0757,1.0750,0.0289,1.0597,1.0938,1.0006,1.1374
30,30,1.0786,1.0837,0.0231,1.0621,1.0935,1.0278,1.1238
50,30,1.0847,1.0851,0.0157,1.0754,1.0909,1.0398,1.1227
75,30,1.0843,1.0820,0.0172,1.0748,1.0956,1.0438,1.1327
100,1,1.0946,1.0946,0.0000,1.0946,1.0946,1.0946,1.0946
