cluster,rank,date,l2_distance_to_centroid
0,1,2018-04-30,0.24609789013161795
0,2,2014-04-30,0.2528785871305056
0,3,2012-07-31,0.279546788568447
0,4,2015-03-31,0.2860871450207118
0,5,2013-02-28,0.2944733348258553
1,1,2015-04-30,0.19205025699612815
1,2,2023-09-29,0.2519759786029693
1,3,2019-05-31,0.262144028226583
1,4,2017-03-31,0.30725321162029945
1,5,2020-01-31,0.33114062102028224
2,1,2019-12-31,0.21036641946148338
2,2,2021-06-30,0.22696313069551466
2,3,2023-11-30,0.2780745684134654
2,4,2021-04-30,0.33071699008944033
2,5,2023-10-31,0.3605170866850606
3,1,2015-10-30,0.4419108248249931
3,2,2020-04-30,0.6212031428740145
3,3,2023-01-31,0.662358027161387
3,4,2016-01-29,0.7029229257027101
3,5,2022-01-31,0.70489440982481
