regime,config,n_features,input_silhouette,output_silhouette,ari_vs_output,knn_r2_to_output,cluster_sizes
calm,means,12,0.295,0.443,0.104,0.382,"(8, 49, 51)"
calm,means+pi,13,0.272,0.443,0.104,0.357,"(8, 49, 51)"
calm,means+std,24,0.252,0.443,0.071,0.479,"(9, 48, 51)"
calm,means+std+pi,25,0.24,0.443,0.061,0.47,"(9, 49, 50)"
calm,means+std+skew,36,0.18,0.443,0.029,0.389,"(9, 47, 52)"
calm,means+std+skew+pi,37,0.161,0.443,0.07,0.378,"(10, 48, 50)"
panic,means,12,0.273,0.462,0.183,0.516,"(10, 24, 25)"
panic,means+pi,13,0.253,0.462,0.183,0.513,"(10, 24, 25)"
panic,means+std,24,0.216,0.462,0.21,0.622,"(15, 19, 25)"
panic,means+std+pi,25,0.213,0.462,0.21,0.619,"(15, 19, 25)"
panic,means+std+skew,36,0.27,0.462,0.08,0.583,"(7, 19, 33)"
panic,means+std+skew+pi,37,0.262,0.462,0.08,0.563,"(7, 19, 33)"
