config,n_features,k,silhouette,cluster_sizes,k2_calm_panic_purity
baseline,25,2,0.646,"(11, 156)",0.59
baseline,25,3,0.243,"(9, 67, 91)",
baseline,25,4,0.257,"(8, 23, 61, 75)",
baseline,25,5,0.269,"(3, 5, 23, 48, 88)",
baseline,25,6,0.197,"(3, 5, 21, 31, 45, 62)",
no_std,13,2,0.284,"(69, 98)",0.69
no_std,13,3,0.334,"(8, 51, 108)",
no_std,13,4,0.222,"(8, 32, 61, 66)",
no_std,13,5,0.234,"(8, 21, 22, 56, 60)",
no_std,13,6,0.234,"(8, 18, 20, 26, 43, 52)",
grouped_means,4,2,0.405,"(67, 100)",0.94
grouped_means,4,3,0.455,"(8, 62, 97)",
grouped_means,4,4,0.413,"(8, 32, 32, 95)",
grouped_means,4,5,0.368,"(8, 28, 31, 45, 55)",
grouped_means,4,6,0.359,"(8, 12, 18, 30, 45, 54)",
grouped_both,7,2,0.66,"(9, 158)",0.59
grouped_both,7,3,0.384,"(9, 60, 98)",
grouped_both,7,4,0.395,"(8, 21, 44, 94)",
grouped_both,7,5,0.303,"(8, 20, 40, 47, 52)",
grouped_both,7,6,0.306,"(3, 5, 20, 40, 47, 52)",
