regime,leg,horizon,mom_share,n_rows
calm,long,1,0.047132,53940
calm,long,2,0.041099,53940
calm,long,3,0.037356,53940
calm,long,4,0.052936,53940
calm,long,5,0.060239,53940
calm,long,6,0.063177,53940
calm,long,7,0.037843,53940
calm,long,8,0.101788,53940
calm,long,9,0.126509,53940
calm,long,10,0.077495,53940
calm,long,11,0.185931,53940
calm,long,12,0.168495,53940
calm,short,1,0.053070,40046
calm,short,2,0.045717,40046
calm,short,3,0.032019,40046
calm,short,4,0.073653,40046
calm,short,5,0.040496,40046
calm,short,6,0.042860,40046
calm,short,7,0.041574,40046
calm,short,8,0.128245,40046
calm,short,9,0.145189,40046
calm,short,10,0.054135,40046
calm,short,11,0.231317,40046
calm,short,12,0.111727,40046
panic,long,1,0.070604,31659
panic,long,2,0.045613,31659
panic,long,3,0.032320,31659
panic,long,4,0.043523,31659
panic,long,5,0.073155,31659
panic,long,6,0.062549,31659
panic,long,7,0.039025,31659
panic,long,8,0.082741,31659
panic,long,9,0.155432,31659
panic,long,10,0.087315,31659
panic,long,11,0.159910,31659
panic,long,12,0.147815,31659
panic,short,1,0.106373,20633
panic,short,2,0.050974,20633
panic,short,3,0.031607,20633
panic,short,4,0.072660,20633
panic,short,5,0.047117,20633
panic,short,6,0.050233,20633
panic,short,7,0.031711,20633
panic,short,8,0.107503,20633
panic,short,9,0.131254,20633
panic,short,10,0.050397,20633
panic,short,11,0.212330,20633
panic,short,12,0.107841,20633
