feature,F_statistic,p_value
cs_mom_short,52.46924036473133,2.000997543150869e-11
cs_mom_mid,46.02515628463664,2.401091816198727e-10
mom_overall,41.165091868310746,1.6582378505083296e-09
cs_mom_long,23.141183602390523,3.574914112455018e-06
pi_panic,9.8603471778595,0.002027331719163449
cs_disp_mid,5.5731536790020675,0.019498523602354635
cs_disp_long,4.655751874497328,0.03251009624121854
pi_panic_freq_6mo,4.467400182182679,0.03616962821672897
past_sharpe_12mo,3.6332410758039773,0.05851151212226373
cs_disp_short,3.1909066726823734,0.07602930369474216
cs_skew_long,1.9736729188148245,0.1620855732185857
cs_skew_short,1.5474926412741439,0.21540845765391659
pi_panic_freq_12mo,0.6992957554927182,0.4043245505180465
cs_skew_mid,0.4011344483181426,0.5274495552182725
