feature,F_statistic,p_value
cs_mom_short,34.60517933366201,5.501853104689903e-08
cs_mom_mid,24.206758641676743,3.4498163597742382e-06
mom_overall,21.45506766613232,1.1035087379031243e-05
past_sharpe_12mo,12.426378153148159,0.0006427886006652933
cs_mom_long,11.264110460906736,0.001121832529989378
cs_skew_long,6.769797164980661,0.010693438897335202
cs_disp_mid,6.007430331516622,0.01599904820532555
cs_skew_mid,4.13466063576481,0.044689594214879176
cs_disp_long,3.799738166011484,0.05409037087343212
cs_disp_short,2.285450140985502,0.13377785947421028
pi_panic_freq_6mo,1.6725861474876795,0.19892213245030338
cs_skew_short,0.4288304566785786,0.5140820112067842
pi_panic_freq_12mo,0.1431970297703906,0.7059334369438439
