rule_id,feature,threshold,direction,frequency_pct
0,pi_filter,0.0,no,71.1
0,pi_filter,1.0,no,28.9
0,pi_filter,0.001,no,12.1
0,pi_filter,0.004,no,4.6
0,pi_filter,0.979,no,4.3
0,pi_filter,0.999,no,4.1
0,mom_10,-0.836,no,3.3
0,pi_filter,1.0,yes,3.1
0,pi_filter,0.019,no,2.8
0,mom_12,2.314,yes,2.7
1,pi_filter,0.0,yes,73.1
1,pi_filter,1.0,yes,27.2
1,pi_filter,0.001,yes,9.7
1,pi_filter,0.979,yes,5.6
1,pi_filter,0.999,yes,5.3
1,pi_filter,0.004,yes,5.2
1,mom_10,-0.836,no,4.9
1,pi_filter,0.003,yes,3.3
1,mom_9,-0.824,no,3.3
1,mom_3,-0.655,no,3.1
