date,hhi,dominant_rule,dominant_share
2011-01-31,1.0,1,1.0
2011-02-28,1.0,1,1.0
2011-03-31,1.0,1,1.0
2011-04-29,1.0,1,1.0
2011-05-31,1.0,1,1.0
2011-06-30,1.0,1,1.0
2011-07-29,1.0,1,1.0
2011-08-31,0.684513931347716,0,0.8037383177570093
2011-09-30,0.5257631073807821,2,0.6134969325153374
2011-10-31,0.8131916840630273,2,0.8957219251336899
2011-11-30,0.5740598121050406,0,0.6924315619967794
2011-12-30,0.5918367346938775,0,0.7142857142857143
2012-01-31,0.5008680555555556,0,0.5208333333333334
2012-02-29,0.7979378270236996,0,0.8859649122807017
2012-03-30,1.0,0,1.0
2012-04-30,1.0,1,1.0
2012-05-31,0.5773260951900013,0,0.6966292134831461
2012-06-29,0.5270416441319632,0,0.6162790697674418
2012-07-31,0.7063762054867201,0,0.8212290502793296
2012-08-31,0.5954533453204951,0,0.7184643510054844
2012-09-28,0.8126014061654949,0,0.8953488372093024
2012-10-31,1.0,1,1.0
2012-11-30,1.0,1,1.0
2012-12-31,1.0,1,1.0
2013-01-31,1.0,1,1.0
2013-02-28,1.0,1,1.0
2013-03-28,1.0,1,1.0
2013-04-30,1.0,1,1.0
2013-05-31,1.0,1,1.0
2013-06-28,1.0,1,1.0
2013-07-31,1.0,1,1.0
2013-08-30,1.0,1,1.0
2013-09-30,1.0,1,1.0
2013-10-31,1.0,1,1.0
2013-11-29,1.0,1,1.0
2013-12-31,1.0,1,1.0
2014-01-31,1.0,1,1.0
2014-02-28,1.0,1,1.0
2014-03-31,1.0,1,1.0
2014-04-30,1.0,1,1.0
2014-05-30,1.0,1,1.0
2014-06-30,1.0,1,1.0
2014-07-31,1.0,1,1.0
2014-08-29,1.0,1,1.0
2014-09-30,1.0,1,1.0
2014-10-31,1.0,1,1.0
2014-11-28,1.0,1,1.0
2014-12-31,1.0,1,1.0
2015-01-30,1.0,1,1.0
2015-02-27,1.0,1,1.0
2015-03-31,1.0,1,1.0
2015-04-30,1.0,1,1.0
2015-05-29,1.0,1,1.0
2015-06-30,1.0,1,1.0
2015-07-31,1.0,1,1.0
2015-08-31,0.5113064616428289,0,0.575187969924812
2015-09-30,0.5306993499882527,0,0.6238938053097345
2015-10-30,0.7281610845711403,2,0.8377581120943953
2015-11-30,0.630710590338535,0,0.75564681724846
2015-12-31,0.5822801708793165,0,0.7028301886792453
2016-01-29,0.6813859429112441,2,0.8011527377521613
2016-02-29,0.826796270581234,2,0.9042253521126761
2016-03-31,0.5192417756003754,2,0.5980861244019139
2016-04-29,0.6093369908389834,0,0.7338129496402878
2016-05-31,1.0,0,1.0
2016-06-30,1.0,1,1.0
2016-07-29,1.0,1,1.0
2016-08-31,1.0,1,1.0
2016-09-30,1.0,1,1.0
2016-10-31,1.0,1,1.0
2016-11-30,1.0,1,1.0
2016-12-30,1.0,1,1.0
2017-01-31,1.0,1,1.0
2017-02-28,1.0,1,1.0
2017-03-31,1.0,1,1.0
2017-04-28,1.0,1,1.0
2017-05-31,1.0,1,1.0
2017-06-30,1.0,1,1.0
2017-07-31,1.0,1,1.0
2017-08-31,1.0,1,1.0
2017-09-29,1.0,1,1.0
2017-10-31,1.0,1,1.0
2017-11-30,1.0,1,1.0
2017-12-29,1.0,1,1.0
2018-01-31,1.0,1,1.0
2018-02-28,1.0,1,1.0
2018-03-29,1.0,1,1.0
2018-04-30,1.0,1,1.0
2018-05-31,1.0,1,1.0
2018-06-29,1.0,1,1.0
2018-07-31,1.0,1,1.0
2018-08-31,1.0,1,1.0
2018-09-28,1.0,1,1.0
2018-10-31,1.0,1,1.0
2018-11-30,1.0,1,1.0
2018-12-31,0.513207009128831,0,0.5812619502868069
2019-01-31,0.8180751923356075,2,0.8987951807228916
