k,n_subsets,mean,median,std,p25,p75,min,max
1,30,1.0399,1.0310,0.0777,0.9849,1.0901,0.9151,1.2050
2,30,1.0619,1.0809,0.0691,1.0193,1.1031,0.8941,1.2172
3,30,1.0487,1.0435,0.0428,1.0145,1.0755,0.9732,1.1435
5,30,1.0424,1.0425,0.0472,1.0025,1.0834,0.9667,1.1538
10,30,1.0531,1.0501,0.0361,1.0380,1.0659,0.9645,1.1453
15,30,1.0755,1.0791,0.0294,1.0546,1.0967,1.0084,1.1389
20,30,1.0782,1.0796,0.0218,1.0650,1.0902,1.0246,1.1216
30,30,1.0885,1.0820,0.0250,1.0691,1.1095,1.0520,1.1366
50,30,1.0927,1.0922,0.0152,1.0821,1.1014,1.0669,1.1238
75,30,1.0978,1.1016,0.0122,1.0915,1.1053,1.0667,1.1180
100,1,1.1184,1.1184,0.0000,1.1184,1.1184,1.1184,1.1184
