Horizon,Regime,Leg,Mean (yearly),Std (yearly),P25 (yearly),P75 (yearly),Min (yearly),Max (yearly),N_years,Pct_above_50 (yearly),Mean (monthly),P25 (monthly),P75 (monthly)
1,Calm,long,46.9,6.4,44.1,50.2,31.7,55.1,13,38.5,47.9,43.3,53.4
1,Calm,short,51.0,3.4,49.8,53.6,44.0,55.0,13,69.2,50.5,45.9,54.3
1,Panic,long,38.9,7.2,32.2,43.5,28.8,49.1,10,0.0,40.7,29.8,50.8
1,Panic,short,64.1,12.0,55.7,70.5,42.7,82.8,10,90.0,61.7,49.2,78.0
2,Calm,long,48.6,7.9,45.5,52.9,30.3,59.5,13,53.8,49.7,42.9,56.5
2,Calm,short,45.9,3.8,44.7,48.2,40.2,54.0,13,7.7,45.7,41.0,49.6
2,Panic,long,39.5,8.7,30.7,45.9,27.7,51.8,10,10.0,41.6,29.0,53.2
2,Panic,short,54.3,5.8,51.4,58.5,43.1,61.5,10,80.0,53.5,44.3,64.7
3,Calm,long,48.9,8.7,45.9,53.4,29.5,61.4,13,53.8,50.1,43.0,57.9
3,Calm,short,45.2,4.6,42.5,47.7,38.6,54.9,13,7.7,45.1,39.8,49.5
3,Panic,long,38.2,8.9,29.0,43.7,27.5,51.4,10,10.0,40.3,28.6,51.8
3,Panic,short,52.3,2.8,51.4,54.4,46.8,55.5,10,80.0,51.9,43.7,59.6
4,Calm,long,49.4,9.8,45.9,53.9,29.1,63.7,13,53.8,50.5,43.2,59.3
4,Calm,short,43.9,5.9,41.2,46.9,35.6,57.8,13,7.7,43.8,36.6,48.2
4,Panic,long,37.5,8.8,30.4,42.3,25.3,50.8,10,10.0,39.3,26.9,51.4
4,Panic,short,50.8,3.0,50.3,52.8,43.6,53.5,10,80.0,51.3,42.1,58.6
5,Calm,long,51.1,10.9,46.6,56.4,29.7,66.6,13,69.2,52.3,43.9,62.3
5,Calm,short,39.7,7.6,35.5,41.6,31.2,59.9,13,7.7,39.6,31.5,43.3
5,Panic,long,37.8,9.8,30.4,42.0,24.4,52.3,10,20.0,39.7,27.6,52.8
5,Panic,short,47.5,3.2,45.1,50.3,42.4,51.7,10,30.0,47.9,39.6,57.6
6,Calm,long,53.4,11.8,46.9,59.3,31.3,69.6,13,69.2,54.7,46.1,65.3
6,Calm,short,35.7,9.5,30.5,38.6,26.4,62.3,13,7.7,35.7,27.8,38.1
6,Panic,long,39.3,10.9,32.9,44.4,22.8,54.6,10,20.0,41.0,26.1,53.7
6,Panic,short,44.1,4.1,41.2,47.5,38.3,50.5,10,10.0,44.6,36.1,51.9
7,Calm,long,54.5,12.7,46.6,61.1,31.9,71.8,13,69.2,56.0,46.5,66.5
7,Calm,short,32.9,11.6,27.2,36.1,22.9,65.6,13,7.7,32.8,24.3,34.9
7,Panic,long,39.8,11.5,34.8,45.8,20.9,55.4,10,20.0,41.1,22.8,54.3
7,Panic,short,41.6,4.8,38.8,44.7,34.4,49.9,10,0.0,42.3,33.1,50.2
8,Calm,long,55.8,13.4,46.7,62.8,32.6,73.9,13,69.2,57.4,46.7,69.1
8,Calm,short,30.3,13.6,23.5,32.4,18.9,68.6,13,7.7,30.2,21.1,31.8
8,Panic,long,40.2,12.0,36.6,46.4,19.5,56.0,10,20.0,41.3,21.3,54.8
8,Panic,short,39.5,5.7,36.8,43.7,30.4,49.3,10,0.0,40.3,29.3,48.8
9,Calm,long,55.3,13.8,45.7,63.3,33.0,73.4,13,69.2,56.8,45.8,69.1
9,Calm,short,29.2,15.4,21.4,30.6,16.5,72.8,13,7.7,29.0,18.9,31.4
9,Panic,long,40.5,12.1,37.8,47.7,18.9,56.2,10,20.0,41.4,20.5,54.9
9,Panic,short,37.8,6.0,34.7,42.0,27.4,48.1,10,0.0,38.9,27.9,47.0
10,Calm,long,54.2,13.7,44.4,62.7,32.6,73.2,13,61.5,55.8,44.9,67.5
10,Calm,short,29.8,16.0,21.5,30.7,16.5,75.9,13,7.7,29.7,19.2,31.9
10,Panic,long,40.3,11.9,38.0,48.2,18.7,55.0,10,20.0,40.9,20.0,53.0
10,Panic,short,37.5,5.8,34.3,41.4,26.8,47.7,10,0.0,38.8,27.7,46.4
11,Calm,long,53.7,13.3,43.3,62.3,32.7,73.3,13,61.5,55.4,43.7,65.6
11,Calm,short,29.5,16.3,21.1,30.2,15.7,76.6,13,7.7,29.4,18.9,32.3
11,Panic,long,40.2,11.7,37.5,48.2,18.6,54.3,10,20.0,40.7,20.0,53.9
11,Panic,short,36.9,5.7,33.9,39.9,26.4,47.4,10,0.0,38.4,27.9,45.0
12,Calm,long,50.6,13.0,39.4,58.4,31.2,70.3,13,61.5,52.2,40.6,63.3
12,Calm,short,33.5,15.8,25.4,35.0,19.1,78.3,13,7.7,33.2,22.6,36.7
12,Panic,long,38.6,11.0,35.4,46.2,18.2,51.8,10,20.0,38.8,19.4,51.2
12,Panic,short,39.9,5.8,37.3,42.5,28.1,50.0,10,0.0,41.6,33.2,46.9
