date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2011-01-31,0.2278,0.3310,0.3757,0.3974,0.5271,0.7174,0.7573,0.8149,0.6328,0.7168,0.7105,0.3977
2011-02-28,0.5846,0.6801,0.6388,0.7233,0.8180,0.9626,1.1377,1.1969,1.1234,0.9109,0.9714,0.7707
2011-03-31,0.6010,0.9966,0.9065,0.9907,1.2313,1.4056,1.5331,1.6855,1.6055,1.4428,1.2877,1.1501
2011-04-29,0.5595,0.9089,0.9156,0.9518,1.2259,1.4698,1.6196,1.7647,1.8034,1.6940,1.5484,1.1683
2011-05-31,0.3297,0.5370,0.8480,0.8022,1.0784,1.3942,1.6305,1.8013,1.6427,1.6226,1.4429,1.0694
2011-06-30,0.1267,0.2384,0.2233,0.4583,0.6768,1.0140,1.1925,1.4361,1.5030,1.3136,1.2955,0.9902
2011-07-29,0.0974,0.2177,0.1634,0.2284,0.5638,0.9177,1.1696,1.3247,1.3286,1.2243,1.1052,0.8794
2011-08-31,0.6902,0.2152,-0.4669,-0.8406,-1.0159,-1.0152,-1.1015,-1.1181,-1.2144,-1.3953,-1.4803,-1.7534
2011-09-30,-1.9437,-1.5152,-1.5424,-1.4269,-1.3073,-0.9841,-0.7318,-0.4635,-0.2438,-0.1375,-0.0142,-0.0271
2011-10-31,-2.1518,-2.0995,-2.0402,-2.1113,-2.0136,-1.8472,-1.6178,-1.4832,-1.2823,-1.1266,-0.9590,-0.9016
2011-11-30,-1.4400,-0.3915,0.2246,0.5025,0.4748,0.6201,0.6544,0.6798,0.7715,0.8464,0.8377,0.5865
2011-12-30,0.1594,0.1433,-0.0434,-0.0131,0.2458,0.4692,0.7535,0.9024,1.0622,1.1458,1.2154,1.1026
2012-01-31,0.2862,0.0743,-0.3893,-0.5825,-0.4295,-0.1290,-0.0642,0.0345,0.0698,0.1293,0.1516,-0.0211
2012-02-29,-0.7306,-0.0595,0.2533,0.3698,0.7916,1.1414,1.1531,1.1575,1.2020,1.1105,1.0031,0.8258
