date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2011-01-31,0.0538,-0.0596,-0.0952,-0.1408,-0.1953,-0.3379,-0.3457,-0.3655,-0.2749,-0.3655,-0.3788,-0.1991
2011-02-28,-0.1821,-0.1863,-0.1563,-0.1908,-0.2348,-0.3462,-0.4536,-0.5251,-0.5271,-0.4300,-0.5046,-0.4205
2011-03-31,-0.1539,-0.3096,-0.2159,-0.2723,-0.4051,-0.4612,-0.5320,-0.6131,-0.6741,-0.6570,-0.6010,-0.5626
2011-04-29,-0.2764,-0.3568,-0.3478,-0.3307,-0.4476,-0.5674,-0.5971,-0.6824,-0.7511,-0.7354,-0.7008,-0.5401
2011-05-31,-0.2170,-0.3137,-0.3884,-0.3460,-0.4023,-0.5112,-0.6226,-0.6768,-0.7020,-0.7324,-0.7047,-0.5789
2011-06-30,-0.0885,-0.2224,-0.2472,-0.3384,-0.3850,-0.4800,-0.5497,-0.6627,-0.7331,-0.6862,-0.7183,-0.6074
2011-07-29,-0.1002,-0.1386,-0.1345,-0.1158,-0.2723,-0.4375,-0.5249,-0.6023,-0.6374,-0.6061,-0.5585,-0.4883
2011-08-31,-0.3702,-0.2746,0.1169,0.3002,0.4299,0.5013,0.6229,0.6696,0.7769,0.8956,0.9803,1.0878
2011-09-30,0.8973,0.6135,0.4840,0.3977,0.2821,0.1241,-0.0338,-0.1585,-0.2647,-0.3188,-0.3868,-0.3789
2011-10-31,0.9344,0.7539,0.7219,0.6898,0.5602,0.4328,0.2961,0.1873,0.0663,-0.0316,-0.1112,-0.1030
2011-11-30,0.8445,-0.1578,-0.7768,-0.9315,-0.8860,-0.8748,-0.8266,-0.7575,-0.7820,-0.8119,-0.7669,-0.6073
2011-12-30,-0.1256,-0.0522,0.0974,0.1192,0.0021,-0.0932,-0.2094,-0.2588,-0.3187,-0.3672,-0.4231,-0.3605
2012-01-31,-0.3321,-0.1976,0.0987,0.1067,-0.0983,-0.2327,-0.2917,-0.3412,-0.3664,-0.3727,-0.3880,-0.2768
