group,combo,count,pct,avg_z_scores
Calm Long,m8,5389179,2.1557,m8=+0.48
Calm Long,m12,5381598,2.1526,m12=+0.35
Calm Long,m1,4785147,1.9141,m1=-0.02
Calm Long,m9,4012216,1.6049,m9=+0.49
Calm Long,m11 + m12,2460870,0.9843,m11=-0.31; m12=-0.39
Calm Long,m9 + m12,2213797,0.8855,m9=+0.67; m12=+0.44
Calm Long,m2,2187289,0.8749,m2=-0.17
Calm Long,m3,1944919,0.7780,m3=+0.19
Calm Long,m8 + m12,1586427,0.6346,m8=+0.59; m12=+0.31
Calm Long,m11,1570869,0.6283,m11=+0.38
Calm Long,m8 + m11 + m12,1496267,0.5985,m8=+0.58; m11=+0.45; m12=+0.32
Calm Long,m10,1398422,0.5594,m10=+0.43
Calm Long,m9 + m10 + m11 + m12,1332592,0.5330,m9=+0.58; m10=+0.54; m11=+0.50; m12=+0.37
Calm Long,m9 + m10 + m12,1325869,0.5303,m9=+0.32; m10=+0.29; m12=+0.15
Calm Long,m4,1320944,0.5284,m4=-0.05
Calm Short,m12,5486535,2.1946,m12=-0.04
Calm Short,m8,5220749,2.0883,m8=-0.29
Calm Short,m1,4729526,1.8918,m1=+0.02
Calm Short,m9,3981555,1.5926,m9=-0.29
Calm Short,m11 + m12,2452315,0.9809,m11=-0.53; m12=-0.45
Calm Short,m9 + m12,2285902,0.9144,m9=-0.35; m12=-0.24
Calm Short,m2,2036868,0.8147,m2=-0.17
Calm Short,m8 + m11 + m12,1886593,0.7546,m8=-0.38; m11=-0.39; m12=-0.30
Calm Short,m3,1885170,0.7541,m3=-0.02
Calm Short,m4 + m11 + m12,1669533,0.6678,m4=-0.23; m11=-0.53; m12=-0.44
Calm Short,m8 + m12,1550456,0.6202,m8=-0.40; m12=-0.32
Calm Short,m11,1498092,0.5992,m11=-0.36
Calm Short,m9 + m11 + m12,1464765,0.5859,m9=-0.39; m11=-0.37; m12=-0.28
Calm Short,m9 + m10 + m11 + m12,1452989,0.5812,m9=-0.33; m10=-0.31; m11=-0.31; m12=-0.22
Calm Short,m10,1413847,0.5655,m10=-0.34
Panic Long,m1,5095193,2.0381,m1=-0.11
Panic Long,m12,4825896,1.9304,m12=+0.24
Panic Long,m8,4415629,1.7663,m8=+0.03
Panic Long,m9,3242054,1.2968,m9=+0.18
Panic Long,m11 + m12,2753836,1.1015,m11=-0.59; m12=-0.63
Panic Long,m2,2636849,1.0547,m2=-0.04
Panic Long,m9 + m12,1959908,0.7840,m9=+0.35; m12=+0.21
Panic Long,m11,1837949,0.7352,m11=-0.15
Panic Long,m3,1687996,0.6752,m3=+0.14
Panic Long,m8 + m12,1601333,0.6405,m8=+0.01; m12=-0.11
Panic Long,m4 + m11 + m12,1525323,0.6101,m4=-0.52; m11=-0.64; m12=-0.68
Panic Long,m8 + m11 + m12,1434433,0.5738,m8=+0.10; m11=+0.06; m12=-0.01
Panic Long,m4,1357430,0.5430,m4=-0.31
Panic Long,m9 + m10 + m12,1265755,0.5063,m9=-0.13; m10=-0.14; m12=-0.21
Panic Long,m5,1217268,0.4869,m5=+0.05
Panic Short,m12,5333490,2.1334,m12=+0.09
Panic Short,m1,5054818,2.0219,m1=+0.33
Panic Short,m8,4502178,1.8009,m8=-0.06
Panic Short,m9,3452759,1.3811,m9=-0.09
Panic Short,m11 + m12,2593237,1.0373,m11=-0.27; m12=-0.21
Panic Short,m2,2394601,0.9578,m2=+0.05
Panic Short,m9 + m12,2282359,0.9129,m9=-0.09; m12=-0.02
Panic Short,m8 + m11 + m12,1908021,0.7632,m8=-0.12; m11=-0.14; m12=-0.08
Panic Short,m11,1735905,0.6944,m11=-0.24
Panic Short,m4 + m11 + m12,1726576,0.6906,m4=-0.03; m11=-0.29; m12=-0.23
Panic Short,m3,1677117,0.6708,m3=+0.19
Panic Short,m8 + m12,1665318,0.6661,m8=-0.11; m12=-0.07
Panic Short,m9 + m11 + m12,1471259,0.5885,m9=-0.15; m11=-0.15; m12=-0.09
Panic Short,m9 + m10 + m11 + m12,1424407,0.5698,m9=-0.09; m10=-0.07; m11=-0.07; m12=-0.01
Panic Short,m9 + m10 + m12,1333702,0.5335,m9=-0.15; m10=-0.15; m12=-0.09
