group,path,count,pct,avg_leaf_pct
Calm Long,m1>=,21370,1.3191,0.0030
Calm Long,m9>= -> m10>=,16838,1.0394,0.0012
Calm Long,m9>=,14673,0.9057,-0.0162
Calm Long,m1< -> m1<,9968,0.6153,-0.0005
Calm Long,m2>= -> m12>= -> m10>= -> m9>=,9593,0.5922,-0.0003
Calm Long,m5>=,9525,0.5880,0.0012
Calm Long,m6>= -> m11>= -> m10>= -> m9>=,9438,0.5826,0.0002
Calm Long,m9>= -> m8>=,9064,0.5595,0.0059
Calm Long,m10>= -> m9>= -> m7>= -> m11>=,8496,0.5244,-0.0004
Calm Long,m11< -> m12<,8251,0.5093,-0.0034
Calm Short,m1>=,22817,1.4085,0.0016
Calm Short,m9>=,16178,0.9986,-0.0223
Calm Short,m9>= -> m10>=,14129,0.8722,-0.0006
Calm Short,m11< -> m12<,12601,0.7778,-0.0027
Calm Short,m2>= -> m12>= -> m10>= -> m9>=,9961,0.6149,-0.0003
Calm Short,m6>= -> m11>= -> m10>= -> m9>=,9949,0.6141,0.0002
Calm Short,m5>=,9914,0.6120,0.0012
Calm Short,m10>= -> m9>= -> m7>= -> m11>=,9780,0.6037,-0.0004
Calm Short,m2>= -> m12>= -> m11>= -> m5>=,9373,0.5786,0.0001
Calm Short,m1< -> m1<,8908,0.5499,-0.0005
Panic Long,m1>=,17258,1.0653,-0.0009
Panic Long,m9>= -> m10>=,16017,0.9887,-0.0020
Panic Long,m11< -> m12<,12882,0.7952,-0.0071
Panic Long,m9>=,11665,0.7201,0.0027
Panic Long,m1< -> m1<,8824,0.5447,-0.0311
Panic Long,m2>= -> m12>= -> m10>= -> m9>=,8784,0.5422,-0.0003
Panic Long,m6>= -> m11>= -> m10>= -> m9>=,8379,0.5172,0.0002
Panic Long,m4<,7389,0.4561,0.0134
Panic Long,m10>= -> m9>= -> m7>= -> m11>=,7006,0.4325,-0.0004
Panic Long,m9>= -> m8>=,6999,0.4320,0.0225
Panic Short,m1>=,18356,1.1331,-0.0009
Panic Short,m9>= -> m10>=,15372,0.9489,-0.0028
Panic Short,m11< -> m12<,13423,0.8286,-0.0044
Panic Short,m9>=,13084,0.8077,0.0003
Panic Short,m2>= -> m12>= -> m10>= -> m9>=,9879,0.6098,-0.0003
Panic Short,m6>= -> m11>= -> m10>= -> m9>=,9838,0.6073,0.0002
Panic Short,m10>= -> m9>= -> m7>= -> m11>=,9527,0.5881,-0.0004
Panic Short,m2>= -> m12>= -> m11>= -> m5>=,9235,0.5701,0.0001
Panic Short,m11>= -> m12>= -> m8>= -> m8>=,7678,0.4740,-0.0000
Panic Short,m11<,6858,0.4233,-0.0035
