date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2011-01-31,0.2547,0.2604,0.2623,0.2385,0.3280,0.3798,0.4136,0.4522,0.3586,0.3525,0.3268,0.1930
2011-02-28,0.3895,0.4774,0.4611,0.5308,0.5733,0.6284,0.6932,0.6925,0.6154,0.4897,0.4683,0.3472
2011-03-31,0.4366,0.6780,0.6840,0.7195,0.8245,0.9430,1.0014,1.0787,0.9360,0.7883,0.6921,0.5908
2011-04-29,0.2702,0.5348,0.5503,0.6067,0.7705,0.9076,1.0153,1.0954,1.0660,0.9783,0.8740,0.6589
2011-05-31,0.1092,0.2191,0.4564,0.4538,0.6765,0.8834,1.0091,1.1248,0.9378,0.8873,0.7337,0.4848
2011-06-30,0.0143,-0.0056,-0.0398,0.1115,0.2800,0.5337,0.6344,0.7674,0.7620,0.6172,0.5694,0.3706
2011-07-29,-0.0594,0.0271,-0.0217,0.0486,0.2295,0.4312,0.6073,0.6854,0.6484,0.5740,0.5004,0.3492
2011-08-31,0.2987,-0.0670,-0.3472,-0.5404,-0.5844,-0.5284,-0.4877,-0.4541,-0.4689,-0.5343,-0.5468,-0.6998
2011-09-30,-1.0686,-0.9201,-1.0832,-1.0528,-1.0485,-0.8862,-0.7884,-0.6442,-0.5274,-0.4839,-0.4294,-0.4375
2011-10-31,-1.2246,-1.3503,-1.3196,-1.4198,-1.4529,-1.4145,-1.3197,-1.2954,-1.2150,-1.1573,-1.0695,-1.0015
2011-11-30,-0.6075,-0.5515,-0.5394,-0.4245,-0.4051,-0.2499,-0.1662,-0.0670,-0.0031,0.0454,0.0769,-0.0219
2011-12-30,-0.0091,0.0816,0.0582,0.1212,0.2496,0.3740,0.5409,0.6360,0.7384,0.7753,0.7949,0.7426
2012-01-31,-0.0587,-0.1296,-0.2862,-0.4646,-0.5301,-0.3726,-0.3693,-0.3158,-0.2975,-0.2436,-0.2341,-0.2944
2012-02-29,-0.0586,0.1822,0.2145,0.1762,0.3398,0.4811,0.5508,0.5813,0.6431,0.5957,0.5546,0.4765
2012-03-30,0.0733,0.2346,0.1067,0.0595,0.0119,0.0256,0.0279,0.1489,0.1336,0.1205,0.0932,-0.0155
2012-04-30,0.2157,0.3354,0.4079,0.4496,0.4593,0.4604,0.4386,0.4137,0.4258,0.3513,0.3528,0.2840
2012-05-31,0.2386,0.3995,0.4742,0.5790,0.5881,0.5503,0.5207,0.4932,0.3867,0.4323,0.3992,0.3620
2012-06-29,-0.0274,0.1278,0.2141,0.3267,0.4335,0.4530,0.4461,0.4723,0.3633,0.2364,0.2709,0.1883
2012-07-31,0.2890,0.3047,0.3509,0.5045,0.6507,0.8178,0.8491,0.8313,0.8323,0.7304,0.6069,0.5605
2012-08-31,0.1126,0.2189,0.1440,0.1994,0.3263,0.4243,0.5598,0.6019,0.5515,0.5286,0.4983,0.3608
2012-09-28,-0.3601,-0.4250,-0.4686,-0.5693,-0.4931,-0.2963,-0.1596,0.0357,0.0652,-0.0400,0.0274,-0.2333
2012-10-31,0.2342,0.3659,0.3555,0.3959,0.5077,0.6506,0.8004,0.9138,0.9586,0.9106,0.8008,0.5619
2012-11-30,0.0446,0.1734,0.1659,0.1831,0.2408,0.3603,0.4749,0.5989,0.6011,0.6520,0.6429,0.3883
2012-12-31,-0.0271,-0.0309,-0.0370,-0.0126,0.0595,0.1398,0.2333,0.3756,0.4125,0.4060,0.4261,0.3119
2013-01-31,-0.0879,0.0409,0.0185,0.0602,0.1608,0.2873,0.3813,0.5059,0.5048,0.4811,0.4562,0.3614
2013-02-28,0.4101,0.5395,0.4950,0.3416,0.5266,0.6699,0.7587,0.8529,0.7153,0.6430,0.5974,0.4886
2013-03-28,0.4742,0.7357,0.7998,0.8560,0.4682,0.6214,0.6756,0.6967,0.6759,0.5026,0.3844,0.3305
2013-04-30,0.3412,0.4324,0.6461,0.6583,0.7342,0.3737,0.5537,0.7441,0.6996,0.6833,0.5197,0.3660
2013-05-31,0.2465,0.4411,0.4496,0.5293,0.5902,0.6473,0.3403,0.4865,0.5350,0.4692,0.4326,0.2298
2013-06-28,0.4497,0.5587,0.6023,0.7366,0.8817,0.9213,0.9305,0.5598,0.6438,0.6670,0.6100,0.4791
2013-07-31,0.0156,0.3596,0.4100,0.4489,0.6062,0.7547,0.8203,0.8724,0.5536,0.5922,0.5935,0.4401
2013-08-30,0.4148,0.5538,0.5577,0.5831,0.7142,0.9089,1.0147,1.0617,0.9392,0.5573,0.6153,0.5136
2013-09-30,0.3832,0.5724,0.6545,0.7905,0.9119,1.0557,1.2086,1.3399,1.3582,1.2997,0.9267,0.9799
2013-10-31,0.4349,0.6168,0.6505,0.8024,1.0224,1.1298,1.2077,1.3138,1.2974,1.3149,1.2348,0.8723
2013-11-29,0.1385,0.2756,0.3244,0.3535,0.5235,0.7157,0.8215,0.9362,0.9059,0.8315,0.7787,0.5986
2013-12-31,0.3931,0.3879,0.4157,0.5024,0.6026,0.7041,0.8840,0.9375,0.9463,0.8937,0.7900,0.6759
2014-01-31,0.3589,0.5394,0.4381,0.4539,0.6058,0.7364,0.8412,0.9751,0.8906,0.8876,0.8354,0.6526
2014-02-28,0.3890,0.4578,0.5620,0.6087,0.6089,0.7553,0.8553,0.9302,1.0208,1.0733,1.1162,1.0394
2014-03-31,0.4115,0.5858,0.5027,0.6030,0.7016,0.7268,0.8574,0.8816,0.8372,0.8409,0.7798,0.6940
2014-04-30,0.0886,0.2843,0.3441,0.3266,0.4978,0.6442,0.7163,0.8100,0.7806,0.7195,0.7267,0.5944
2014-05-30,0.0349,0.0822,0.1849,0.3119,0.3868,0.5910,0.7463,0.8326,0.8357,0.8180,0.7852,0.6646
2014-06-30,0.1794,0.2403,0.2902,0.4316,0.6897,0.8575,1.0531,1.1279,1.0181,1.0000,0.9686,0.8291
2014-07-31,0.4075,0.4668,0.3930,0.3881,0.5850,0.9222,0.9848,1.1414,1.0724,0.9912,0.9966,0.8866
2014-08-29,0.0260,0.2960,0.2161,0.1272,0.2192,0.4750,0.7658,0.8613,0.9004,0.8548,0.8589,0.7379
2014-09-30,0.3846,0.4384,0.5683,0.6021,0.6301,0.7937,0.9452,1.1363,1.0666,1.0291,0.9974,0.8666
2014-10-31,0.0246,0.2795,0.2085,0.2756,0.3326,0.4310,0.5266,0.6670,0.7411,0.7468,0.7869,0.6031
2014-11-28,-0.3470,-0.2452,-0.1283,-0.0942,0.0296,0.1191,0.1723,0.2661,0.3224,0.3764,0.3973,0.2934
2014-12-31,-0.3549,-0.5031,-0.5087,-0.3523,-0.2821,-0.1334,-0.0576,0.0018,-0.0041,0.0007,0.1074,0.0849
2015-01-30,0.0773,0.1873,0.1241,0.1683,0.3609,0.4181,0.5105,0.5990,0.5287,0.4721,0.4544,0.4291
2015-02-27,-0.0787,0.0562,-0.0529,-0.1398,-0.1153,0.0576,0.0948,0.2173,0.2264,0.1935,0.1308,0.1012
2015-03-31,0.2252,0.3736,0.3869,0.4071,0.4354,0.4934,0.6192,0.6379,0.7142,0.7091,0.6297,0.4990
2015-04-30,-0.1062,0.0847,0.1062,0.1272,0.1654,0.1862,0.2052,0.3212,0.2560,0.2856,0.2598,0.0946
2015-05-29,-0.0183,-0.0062,0.0035,0.0327,0.0939,0.2278,0.2586,0.3091,0.3802,0.3508,0.4181,0.3217
2015-06-30,0.1950,0.1689,0.1766,0.2314,0.3349,0.4482,0.5457,0.5927,0.6095,0.6822,0.6613,0.6618
2015-07-31,0.0768,0.2442,0.2278,0.2230,0.2989,0.4222,0.4510,0.5167,0.4572,0.3871,0.3874,0.2845
2015-08-31,-0.2906,-0.0575,0.0306,0.1006,0.1607,0.2446,0.3340,0.3941,0.4312,0.4204,0.4194,0.4299
2015-09-30,0.1030,-0.0662,0.0208,0.1681,0.2773,0.3359,0.4225,0.4774,0.4768,0.4371,0.3668,0.2709
2015-10-30,-0.7889,-0.5241,-0.6648,-0.7961,-1.0329,-0.9489,-0.9555,-0.8619,-0.9015,-0.9386,-1.0056,-1.0912
2015-11-30,0.1038,0.0447,0.1704,0.1244,0.1539,0.2236,0.2795,0.3052,0.3484,0.3611,0.3918,0.3460
2015-12-31,0.1774,0.2173,-0.1655,-0.2160,-0.1624,-0.1081,-0.0531,-0.0173,0.0348,0.0862,0.1306,0.0782
2016-01-29,-0.7699,-0.7842,-0.6731,-1.0348,-0.6105,-0.4772,-0.5313,-0.7104,-0.6679,-0.6797,-0.7011,-0.7474
2016-02-29,-1.2408,-1.2837,-1.2770,-1.2107,-1.4447,-1.0900,-0.9027,-0.9556,-1.0985,-1.0826,-1.0605,-1.0560
2016-03-31,-0.2493,-0.5877,-0.6488,-0.7315,-0.6845,-0.8130,-0.5909,-0.4892,-0.5496,-0.6772,-0.6532,-0.6817
2016-04-29,-0.0743,0.0109,-0.1419,-0.0791,-0.0155,0.0279,-0.0100,0.0343,0.0059,-0.0059,0.0288,-0.0376
