Horizon,Regime,Decile,Mean momentum (%),Mean SHAP (bps)
1,Calm,1,-20.30,16.18
1,Calm,2,-8.85,1.72
1,Calm,3,-4.85,0.16
1,Calm,4,-2.15,-1.10
1,Calm,5,-0.02,0.10
1,Calm,6,1.90,-5.60
1,Calm,7,4.10,-5.31
1,Calm,8,6.86,-8.35
1,Calm,9,11.24,-13.73
1,Calm,10,30.09,-15.72
1,Panic,1,-27.13,67.23
1,Panic,2,-13.16,12.26
1,Panic,3,-8.11,3.54
1,Panic,4,-4.61,-0.16
1,Panic,5,-1.70,-2.26
1,Panic,6,0.69,-3.56
1,Panic,7,3.43,-7.64
1,Panic,8,7.07,-13.79
1,Panic,9,12.75,-26.11
1,Panic,10,35.42,-35.94
2,Calm,1,-27.22,-4.03
2,Calm,2,-11.86,-4.80
2,Calm,3,-6.16,-1.22
2,Calm,4,-2.38,-1.14
2,Calm,5,0.63,-1.27
2,Calm,6,3.52,-1.97
2,Calm,7,6.78,-3.18
2,Calm,8,10.89,-3.95
2,Calm,9,17.54,-3.60
2,Calm,10,46.54,18.67
2,Panic,1,-36.67,8.76
2,Panic,2,-19.14,-6.62
2,Panic,3,-11.89,-6.42
2,Panic,4,-6.91,-4.59
2,Panic,5,-2.76,-4.77
2,Panic,6,0.70,-4.54
2,Panic,7,4.36,-5.74
2,Panic,8,9.30,-7.25
2,Panic,9,16.98,-6.96
2,Panic,10,49.50,36.20
3,Calm,1,-31.84,5.31
3,Calm,2,-13.71,1.64
3,Calm,3,-6.71,4.10
3,Calm,4,-1.99,4.20
3,Calm,5,1.76,4.82
3,Calm,6,5.44,4.17
3,Calm,7,9.68,0.38
3,Calm,8,15.00,-1.35
3,Calm,9,23.52,-1.61
3,Calm,10,61.84,-2.51
3,Panic,1,-43.40,22.76
3,Panic,2,-24.04,2.39
3,Panic,3,-15.44,2.88
3,Panic,4,-9.30,3.07
3,Panic,5,-4.23,2.95
3,Panic,6,0.19,3.19
3,Panic,7,4.45,2.83
3,Panic,8,10.11,-1.21
3,Panic,9,18.81,-2.92
3,Panic,10,57.36,-7.40
4,Calm,1,-35.54,6.35
4,Calm,2,-15.15,13.67
4,Calm,3,-7.02,0.31
4,Calm,4,-1.56,-1.92
4,Calm,5,2.82,-8.15
4,Calm,6,7.23,-9.05
4,Calm,7,12.18,-10.44
4,Calm,8,18.61,-10.55
4,Calm,9,28.93,-11.20
4,Calm,10,76.76,-6.34
4,Panic,1,-48.22,-9.75
4,Panic,2,-27.90,16.84
4,Panic,3,-18.21,14.59
4,Panic,4,-11.28,8.78
4,Panic,5,-5.51,-2.16
4,Panic,6,-0.37,-5.88
4,Panic,7,4.39,-9.65
4,Panic,8,10.83,-10.90
4,Panic,9,20.69,-10.48
4,Panic,10,64.25,-0.85
5,Calm,1,-38.85,39.82
5,Calm,2,-16.76,-3.57
5,Calm,3,-7.56,-3.23
5,Calm,4,-1.33,-2.09
5,Calm,5,3.64,-2.59
5,Calm,6,8.67,-4.74
5,Calm,7,14.31,-5.26
5,Calm,8,21.60,-5.53
5,Calm,9,33.66,-3.69
5,Calm,10,90.04,-2.51
5,Panic,1,-52.01,96.16
5,Panic,2,-30.58,14.48
5,Panic,3,-20.17,-6.24
5,Panic,4,-12.62,-5.99
5,Panic,5,-6.31,-4.89
5,Panic,6,-0.60,-4.16
5,Panic,7,4.63,-4.56
5,Panic,8,11.57,-6.12
5,Panic,9,22.29,-6.24
5,Panic,10,70.69,7.89
6,Calm,1,-41.86,-18.00
6,Calm,2,-18.30,0.04
6,Calm,3,-8.04,0.83
6,Calm,4,-1.10,3.89
6,Calm,5,4.51,5.01
6,Calm,6,10.16,5.10
6,Calm,7,16.63,5.22
6,Calm,8,25.00,6.15
6,Calm,9,38.69,10.51
6,Calm,10,103.64,23.40
6,Panic,1,-55.46,-49.45
6,Panic,2,-33.00,-0.35
6,Panic,3,-21.80,-0.89
6,Panic,4,-13.67,1.42
6,Panic,5,-6.87,2.21
6,Panic,6,-0.71,5.93
6,Panic,7,4.85,7.60
6,Panic,8,12.31,7.76
6,Panic,9,23.48,9.31
6,Panic,10,76.01,30.72
7,Calm,1,-44.61,-1.77
7,Calm,2,-19.81,-5.44
7,Calm,3,-8.52,-6.44
7,Calm,4,-0.87,-6.69
7,Calm,5,5.26,-6.90
7,Calm,6,11.45,-6.10
7,Calm,7,18.44,-5.52
7,Calm,8,27.57,-3.91
7,Calm,9,42.53,-3.44
7,Calm,10,116.14,14.79
7,Panic,1,-58.41,2.80
7,Panic,2,-35.03,-3.11
7,Panic,3,-23.22,-5.46
7,Panic,4,-14.63,-6.06
7,Panic,5,-7.38,-7.10
7,Panic,6,-0.79,-7.85
7,Panic,7,5.25,-8.16
7,Panic,8,13.31,-7.44
7,Panic,9,25.68,-5.66
7,Panic,10,82.89,15.31
8,Calm,1,-47.19,15.34
8,Calm,2,-21.60,-20.54
8,Calm,3,-9.35,-21.60
8,Calm,4,-1.01,-21.02
8,Calm,5,5.61,-17.44
8,Calm,6,12.28,-15.84
8,Calm,7,19.83,-13.95
8,Calm,8,29.67,-11.09
8,Calm,9,46.11,6.62
8,Calm,10,128.77,49.08
8,Panic,1,-60.92,91.32
8,Panic,2,-36.71,-16.52
8,Panic,3,-24.13,-19.62
8,Panic,4,-14.92,-21.14
8,Panic,5,-7.19,-23.19
8,Panic,6,-0.15,-22.85
8,Panic,7,6.36,-20.04
8,Panic,8,14.97,-18.39
8,Panic,9,28.25,-14.91
8,Panic,10,89.99,26.31
9,Calm,1,-49.14,47.48
9,Calm,2,-22.72,-22.33
9,Calm,3,-9.79,-21.76
9,Calm,4,-0.84,-19.63
9,Calm,5,6.30,-15.27
9,Calm,6,13.50,-7.50
9,Calm,7,21.62,-2.46
9,Calm,8,32.30,-2.07
9,Calm,9,50.11,-1.93
9,Calm,10,141.44,-2.33
9,Panic,1,-63.42,168.29
9,Panic,2,-38.68,-23.17
9,Panic,3,-25.41,-26.41
9,Panic,4,-15.69,-25.42
9,Panic,5,-7.54,-25.99
9,Panic,6,-0.20,-23.26
9,Panic,7,6.63,-17.96
9,Panic,8,15.70,-8.40
9,Panic,9,29.80,1.06
9,Panic,10,95.34,9.97
10,Calm,1,-50.95,23.69
10,Calm,2,-23.83,7.26
10,Calm,3,-10.20,4.70
10,Calm,4,-0.71,3.22
10,Calm,5,6.93,4.28
10,Calm,6,14.63,0.19
10,Calm,7,23.30,-0.83
10,Calm,8,34.74,-1.42
10,Calm,9,53.92,-1.77
10,Calm,10,153.99,-0.78
10,Panic,1,-65.45,6.55
10,Panic,2,-40.26,22.49
10,Panic,3,-26.40,7.41
10,Panic,4,-16.25,5.07
10,Panic,5,-7.77,3.56
10,Panic,6,-0.12,2.22
10,Panic,7,7.02,3.03
10,Panic,8,16.55,-1.39
10,Panic,9,31.49,-2.94
10,Panic,10,100.29,2.50
11,Calm,1,-52.57,-98.72
11,Calm,2,-24.79,-47.72
11,Calm,3,-10.60,-28.39
11,Calm,4,-0.54,-14.34
11,Calm,5,7.60,1.53
11,Calm,6,15.72,10.91
11,Calm,7,24.90,19.43
11,Calm,8,36.92,24.48
11,Calm,9,57.26,35.19
11,Calm,10,165.28,0.20
11,Panic,1,-67.44,-119.32
11,Panic,2,-41.90,-107.91
11,Panic,3,-27.37,-62.74
11,Panic,4,-16.66,-44.72
11,Panic,5,-7.76,-31.26
11,Panic,6,0.30,-19.24
11,Panic,7,7.91,-1.24
11,Panic,8,17.99,14.71
11,Panic,9,34.01,25.34
11,Panic,10,106.50,39.87
12,Calm,1,-54.18,116.49
12,Calm,2,-25.68,23.95
12,Calm,3,-10.94,2.81
12,Calm,4,-0.34,3.06
12,Calm,5,8.32,-1.63
12,Calm,6,17.00,-4.69
12,Calm,7,26.68,-7.46
12,Calm,8,39.43,-8.99
12,Calm,9,60.94,-15.82
12,Calm,10,176.18,-33.16
12,Panic,1,-69.17,189.70
12,Panic,2,-43.38,69.20
12,Panic,3,-28.23,26.51
12,Panic,4,-17.17,6.93
12,Panic,5,-7.98,-1.19
12,Panic,6,0.38,-1.52
12,Panic,7,8.39,-5.74
12,Panic,8,18.79,-9.11
12,Panic,9,35.32,-10.37
12,Panic,10,110.46,-11.32
