nu,ll_train,ll_test,bic,agreement,corr_pi
3.0000,-882.6585,-701.0595,1929.8608,0.9142,0.8720
5.0000,-828.9891,-669.8398,1822.5221,0.9681,0.9603
7.0000,-838.3413,-698.2434,1841.2265,0.9804,0.9837
10.0000,-815.7721,-644.3172,1796.0882,0.9681,0.9604
15.0000,-800.1262,-650.9832,1764.7964,0.9828,0.9966
20.0000,-802.9434,-621.6861,1770.4307,0.9926,0.9969
30.0000,-802.6242,-640.6225,1769.7923,0.9853,0.9933
50.0000,-796.5972,-658.0604,1757.7383,0.9877,0.9958
100.0000,-792.2513,-643.5287,1749.0466,0.9877,0.9872
inf,-787.4955,-642.5222,1739.5350,,
