group,combo,count,pct,avg_z_scores
Calm Long,m12,5401606,2.1606,m12=+0.28
Calm Long,m8,5281187,2.1125,m8=+0.39
Calm Long,m1,4850472,1.9402,m1=+0.04
Calm Long,m9,4025511,1.6102,m9=+0.48
Calm Long,m11 + m12,2429920,0.9720,m11=-0.21; m12=-0.30
Calm Long,m9 + m12,2216162,0.8865,m9=+0.82; m12=+0.56
Calm Long,m2,2193959,0.8776,m2=+0.10
Calm Long,m3,1954175,0.7817,m3=+0.33
Calm Long,m8 + m12,1664475,0.6658,m8=+0.80; m12=+0.47
Calm Long,m11,1651070,0.6604,m11=+0.46
Calm Long,m8 + m11 + m12,1555366,0.6221,m8=+0.43; m11=+0.32; m12=+0.21
Calm Long,m10,1358312,0.5433,m10=+0.47
Calm Long,m9 + m10 + m11 + m12,1357955,0.5432,m9=+0.50; m10=+0.46; m11=+0.42; m12=+0.29
Calm Long,m4,1264114,0.5056,m4=-0.07
Calm Long,m10 + m11 + m12,1243775,0.4975,m10=+0.56; m11=+0.52; m12=+0.39
Calm Short,m12,5507373,2.2029,m12=-0.03
Calm Short,m8,5105365,2.0421,m8=-0.25
Calm Short,m1,4807329,1.9229,m1=+0.04
Calm Short,m9,3999620,1.5998,m9=-0.23
Calm Short,m11 + m12,2472587,0.9890,m11=-0.53; m12=-0.44
Calm Short,m9 + m12,2305297,0.9221,m9=-0.26; m12=-0.13
Calm Short,m2,2034682,0.8139,m2=-0.11
Calm Short,m8 + m11 + m12,1959294,0.7837,m8=-0.41; m11=-0.42; m12=-0.33
Calm Short,m3,1902968,0.7612,m3=+0.11
Calm Short,m8 + m12,1596339,0.6385,m8=-0.30; m12=-0.21
Calm Short,m4 + m11 + m12,1588889,0.6356,m4=-0.22; m11=-0.53; m12=-0.44
Calm Short,m11,1541032,0.6164,m11=-0.28
Calm Short,m9 + m10 + m11 + m12,1506817,0.6027,m9=-0.33; m10=-0.30; m11=-0.31; m12=-0.21
Calm Short,m9 + m11 + m12,1478330,0.5913,m9=-0.40; m11=-0.39; m12=-0.30
Calm Short,m10,1368563,0.5474,m10=-0.30
Panic Long,m1,5133017,2.0532,m1=-0.13
Panic Long,m12,4781000,1.9124,m12=-0.01
Panic Long,m8,4345990,1.7384,m8=+0.03
Panic Long,m9,3242737,1.2971,m9=+0.07
Panic Long,m11 + m12,2777363,1.1109,m11=-0.54; m12=-0.58
Panic Long,m2,2658191,1.0633,m2=+0.05
Panic Long,m9 + m12,1973190,0.7893,m9=+0.33; m12=+0.18
Panic Long,m11,1851056,0.7404,m11=-0.02
Panic Long,m3,1707329,0.6829,m3=+0.16
Panic Long,m8 + m12,1656601,0.6626,m8=+0.16; m12=+0.00
Panic Long,m8 + m11 + m12,1494271,0.5977,m8=-0.02; m11=-0.04; m12=-0.11
Panic Long,m4 + m11 + m12,1470984,0.5884,m4=-0.59; m11=-0.75; m12=-0.79
Panic Long,m4,1329601,0.5318,m4=-0.51
Panic Long,m5,1211940,0.4848,m5=+0.01
Panic Long,m9 + m10 + m12,1183638,0.4735,m9=+0.01; m10=-0.01; m12=-0.07
Panic Short,m12,5319893,2.1280,m12=+0.03
Panic Short,m1,5129216,2.0517,m1=+0.35
Panic Short,m8,4432084,1.7728,m8=-0.09
Panic Short,m9,3477291,1.3909,m9=-0.13
Panic Short,m11 + m12,2648579,1.0594,m11=-0.26; m12=-0.19
Panic Short,m2,2441370,0.9765,m2=+0.11
Panic Short,m9 + m12,2314373,0.9257,m9=-0.04; m12=+0.05
Panic Short,m8 + m11 + m12,1985158,0.7941,m8=-0.17; m11=-0.19; m12=-0.12
Panic Short,m11,1728171,0.6913,m11=-0.16
Panic Short,m8 + m12,1696721,0.6787,m8=-0.08; m12=-0.03
Panic Short,m3,1696684,0.6787,m3=+0.21
Panic Short,m4 + m11 + m12,1657618,0.6630,m4=-0.04; m11=-0.31; m12=-0.25
Panic Short,m9 + m11 + m12,1485192,0.5941,m9=-0.20; m11=-0.20; m12=-0.13
Panic Short,m9 + m10 + m11 + m12,1480742,0.5923,m9=-0.14; m10=-0.14; m11=-0.13; m12=-0.07
Panic Short,m10 + m11 + m12,1256468,0.5026,m10=-0.08; m11=-0.07; m12=+0.01
